animal	sex	dob	inoculation_date	icv_date	death_date	icv_dpi	harvest_dpi
DPB3	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPC1	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPC3	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPD1	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPD2	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPD3	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPD5	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPE2	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPE3	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPF1	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPF2	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPF3	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPG1	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPG2	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPG3	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPH1	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPH2	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPH3	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPI1	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPI2	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPI3	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPJ1	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPJ2	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPJ3	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPK1	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPK2	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPK3	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPL1	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPL2	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
DPL3	F	2024-10-10T00:00:00Z	2024-11-19T00:00:00Z	2025-03-04T00:00:00Z	2025-04-02T00:00:00Z	105	134
