sample_id	sample_group	mean
DPE2	none, RML	0.965
DPE3	none, RML	1.052
DPF1	none, RML	0.949
DPF2	none, RML	0.916
DPF3	none, RML	1.141
DPB3	244 ug, RML	0.394
DPC1	244 ug, RML	0.334
DPC3	244 ug, RML	0.316
DPD1	70 ug, RML	0.480
DPD2	70 ug, RML	0.595
DPD3	70 ug, RML	0.481
DPD5	70 ug, RML	0.550
DPI1	none	1.221
DPI2	none	1.052
DPI3	none	0.972
DPJ1	none	1.016
DPJ2	none	0.979
DPJ3	none	0.807
DPH1	244 ug	0.772
DPH2	244 ug	0.525
DPH3	244 ug	0.707
DPK1	244 ug	0.599
DPK2	244 ug	0.648
DPK3	244 ug	0.617
DPG1	70 ug	0.736
DPG2	70 ug	0.860
DPG3	70 ug	1.018
DPL1	70 ug	1.009
DPL2	70 ug	0.859
DPL3	70 ug	0.839
