timepoint	aso	nfl
Pre inoculation	ASOA	82.8
Pre inoculation	ASOA	52.3
Pre inoculation	ASOA	51
Pre inoculation	ASOA	105
Pre inoculation	ASOA	70.7
Pre inoculation	ASOA	77.3
Pre inoculation	ASOD	56.5
Pre inoculation	ASOD	44.9
Pre inoculation	ASOD	39.7
Pre inoculation	ASOD	52
Pre inoculation	ASOE	67.2
Pre inoculation	ASOE	43
Pre inoculation	ASOE	36.5
Pre inoculation	ASOE	49.9
Pre inoculation	ASOE	65.5
Pre inoculation	ASOF	59.5
Pre inoculation	ASOF	31
Pre inoculation	ASOF	40.5
Pre inoculation	ASOF	115
Pre inoculation	ASOF	54.9
Pre inoculation	PBS	107.1
Pre inoculation	PBS	78.797
Pre inoculation	PBS	83.202
Pre inoculation	PBS	57.312
Pre inoculation	PBS	57.141
Pre inoculation	PBS	74.529
Pre inoculation	PBS	77.411
Pre inoculation	PBS	63.743
Pre inoculation	PBS	76.318
Pre inoculation	PBS	76.86
Pre ASO at 119 dpi	ASOA	472
Pre ASO at 119 dpi	ASOA	967
Pre ASO at 119 dpi	ASOA	616
Pre ASO at 119 dpi	ASOA	1047
Pre ASO at 119 dpi	ASOA	495
Pre ASO at 119 dpi	ASOA	1006
Pre ASO at 119 dpi	ASOD	1098
Pre ASO at 119 dpi	ASOD	709
Pre ASO at 119 dpi	ASOD	1217
Pre ASO at 119 dpi	ASOD	413
Pre ASO at 119 dpi	ASOD	1659
Pre ASO at 119 dpi	ASOE	867
Pre ASO at 119 dpi	ASOE	1027
Pre ASO at 119 dpi	ASOE	595
Pre ASO at 119 dpi	ASOE	788
Pre ASO at 119 dpi	ASOE	732
Pre ASO at 119 dpi	ASOF	1262
Pre ASO at 119 dpi	ASOF	791
Pre ASO at 119 dpi	ASOF	1245
Pre ASO at 119 dpi	ASOF	1012
Pre ASO at 119 dpi	ASOF	1072
Pre ASO at 119 dpi	PBS	1498.987
Pre ASO at 119 dpi	PBS	941.946
Pre ASO at 119 dpi	PBS	1488.479
Pre ASO at 119 dpi	PBS	555.342
Pre ASO at 119 dpi	PBS	862.572
Pre ASO at 119 dpi	PBS	707.942
Pre ASO at 119 dpi	PBS	769.88
Pre ASO at 119 dpi	PBS	930.818
Pre ASO at 119 dpi	PBS	774.069
Pre ASO at 119 dpi	PBS	211.801
Post ASO @ 127 dpi	ASOA	530
Post ASO @ 127 dpi	ASOA	1199
Post ASO @ 127 dpi	ASOA	654
Post ASO @ 127 dpi	ASOA	1311
Post ASO @ 127 dpi	ASOA	631
Post ASO @ 127 dpi	ASOA	1188
Post ASO @ 127 dpi	ASOD	1537
Post ASO @ 127 dpi	ASOD	691
Post ASO @ 127 dpi	ASOD	709
Post ASO @ 127 dpi	ASOE	801
Post ASO @ 127 dpi	ASOE	914
Post ASO @ 127 dpi	ASOE	870
Post ASO @ 127 dpi	ASOE	956
Post ASO @ 127 dpi	ASOE	867
Post ASO @ 127 dpi	ASOF	1219
Post ASO @ 127 dpi	ASOF	954
Post ASO @ 127 dpi	ASOF	1264
Post ASO @ 127 dpi	ASOF	1070
Post ASO @ 127 dpi	ASOF	1194
Post ASO @ 127 dpi	PBS	2059.688
Post ASO @ 127 dpi	PBS	1294.365
Post ASO @ 127 dpi	PBS	1946.949
Post ASO @ 127 dpi	PBS	1158.676
Post ASO @ 127 dpi	PBS	1125.145
Post ASO @ 127 dpi	PBS	1149.009
Post ASO @ 127 dpi	PBS	1176.734
Post ASO @ 127 dpi	PBS	1073.282
Post ASO @ 127 dpi	PBS	1068.797
Post ASO @ 127 dpi	PBS	1207.679
Post ASO @ 150 dpi	PBS	1451.344
Post ASO @ 150 dpi	PBS	1690.068
Post ASO @ 150 dpi	PBS	1509.466
Post ASO @ 150 dpi	PBS	1225.26
Post ASO @ 150 dpi	PBS	1575.776
Post ASO @ 150 dpi	PBS	1437.053
Post ASO @ 150 dpi	PBS	1375.906
Post ASO @ 150 dpi	PBS	1512.244
Post ASO @ 150 dpi	PBS	1708.47
