aso	dpi
PBS	153
PBS	160
PBS	137
PBS	166
PBS	166
PBS	171
PBS	162
PBS	160
PBS	171
PBS	164
ASO6	220
ASO6	120
ASO6	240
ASO6	229
ASO6	131
ASO6	218
ASO6	243
ASO6	210
ASO6	250
ASO6	250
ASOA	186
ASOA	136
ASOA	136
ASOA	136
ASOA	184
ASOA	161
ASOA	168
ASOA	154
ASOA	168
ASOA	168
ASOB	161
ASOB	153
ASOB	153
ASOB	153
ASOB	120
ASOB	160
ASOB	160
ASOB	180
ASOB	172
ASOB	182
ASOC	127
ASOC	127
ASOC	127
ASOC	127
ASOC	127
ASOC	127
ASOC	127
ASOC	127
ASOC	127
ASOC	127
ASOD	128
ASOD	127
ASOD	127
ASOD	128
ASOD	126
ASOD	156
ASOD	130
ASOD	128
ASOD	128
ASOD	130
ASOE	167
ASOE	171
ASOE	172
ASOE	169
ASOE	170
ASOE	163
ASOE	147
ASOE	172
ASOE	165
ASOE	159
ASOF	136
ASOF	132
ASOF	130
ASOF	130
ASOF	131
ASOF	130
ASOF	135
ASOF	131
ASOF	135
ASOF	131
ASOG	172
ASOG	167
ASOG	165
ASOG	165
ASOG	167
ASOG	158
ASOG	152
ASOG	159
ASOG	158
ASOG	165
ASOH	151
ASOH	163
ASOH	169
ASOH	171
ASOH	141
ASOH	132
ASOH	123
ASOH	143
ASOH	123
ASOH	153
ASOI	127
ASOI	126
ASOI	126
ASOI	127
ASOI	126
ASOI	127
ASOI	124
ASOI	127
ASOI	127
ASOI	127
