animal	aso	dose	inoculum	harvest_day	prnp_wholehemi_normed
A-1	PBS	0	RML	30	1.11
A-2	PBS	0	RML	30	1.15
A-3	PBS	0	RML	30	1.08
A-4	PBS	0	RML	30	0.81
A-5	PBS	0	RML	30	1.02
A-6	PBS	0	RML	30	0.94
A-7	PBS	0	RML	30	1.25
B-1	ASO6	100	RML	30	0.23
B-2	ASO6	100	RML	30	0.29
B-3	ASO6	100	RML	30	0.39
B-4	ASO6	100	RML	30	0.23
B-5	ASO6	100	RML	30	0.27
B-6	ASO6	100	RML	30	0.28
B-7	ASO6	100	RML	30	0.21
C-1	ASO6	300	RML	30	0.22
C-2	ASO6	300	RML	30	0.19
C-3	ASO6	300	RML	30	0.18
C-4	ASO6	300	RML	30	0.20
C-5	ASO6	300	RML	30	0.18
C-6	ASO6	300	RML	30	0.17
C-7	ASO6	300	RML	30	0.15
D-1	PBS	0	RML	30	0.94
D-2	PBS	0	RML	30	1.04
D-3	PBS	0	RML	30	0.88
D-4	PBS	0	RML	30	1.03
D-5	PBS	0	RML	30	0.88
D-6	PBS	0	RML	30	0.86
E-1	ASO6	100	RML	30	0.24
E-2	ASO6	100	RML	30	0.21
E-3	ASO6	100	RML	30	0.22
E-4	ASO6	100	RML	30	0.25
E-5	ASO6	100	RML	30	0.34
E-6	ASO6	100	RML	30	0.33
E-7	ASO6	100	RML	30	0.23
F-1	ASO6	300	RML	30	0.16
F-2	ASO6	300	RML	30	0.18
F-3	ASO6	300	RML	30	0.18
F-4	ASO6	300	RML	30	0.16
F-5	ASO6	300	RML	30	0.18
F-6	ASO6	300	RML	30	0.18
G-1	PBS	0	CBH	30	0.77
G-2	PBS	0	CBH	30	0.96
G-3	PBS	0	CBH	30	0.96
G-4	PBS	0	CBH	30	0.98
G-5	PBS	0	CBH	30	0.93
G-6	PBS	0	CBH	30	1.12
H-1	ASO6	100	CBH	30	0.61
H-2	ASO6	100	CBH	30	0.54
H-3	ASO6	100	CBH	30	0.77
H-4	ASO6	100	CBH	30	0.78
H-5	ASO6	100	CBH	30	0.62
H-6	ASO6	100	CBH	30	0.72
I-1	ASO6	300	CBH	30	0.44
I-2	ASO6	300	CBH	30	0.51
I-3	ASO6	300	CBH	30	0.41
I-4	ASO6	300	CBH	30	0.42
I-5	ASO6	300	CBH	30	0.53
I-6	ASO6	300	CBH	30	0.47
J-1	PBS	0	CBH	30	1.11
J-2	PBS	0	CBH	30	0.99
J-3	PBS	0	CBH	30	0.96
J-4	PBS	0	CBH	30	1.03
J-5	PBS	0	CBH	30	1.21
J-6	PBS	0	CBH	30	0.96
K-1	ASO6	100	CBH	30	0.67
K-2	ASO6	100	CBH	30	0.67
K-3	ASO6	100	CBH	30	0.69
K-4	ASO6	100	CBH	30	0.63
K-5	ASO6	100	CBH	30	0.66
K-6	ASO6	100	CBH	30	0.85
L-1	ASO6	300	CBH	30	0.38
L-2	ASO6	300	CBH	30	0.47
L-3	ASO6	300	CBH	30	0.32
L-4	ASO6	300	CBH	30	0.42
L-5	ASO6	300	CBH	30	0.42
L-6	ASO6	300	CBH	30	0.42
