animal_id	aso	dose_ug	doses	route	harvest_days	cortex	thoracic_cord	brainstem
A-1	PBS	0	1	ICV	14	0.873795607	1.044831049	0.918361732
A-2	PBS	0	1	ICV	14	0.83076956	0.921054052	0.990891163
A-3	PBS	0	1	ICV	14	1.053921234	1.058347577	1.069942155
A-4	PBS	0	1	ICV	14	1.241513598	0.975767322	1.02080495
B-1	ASO2	300	1	ICV	14	0.341095481	0.284649233	0.380924295
B-2	ASO2	300	1	ICV	14	0.536169793	0.296326794	0.32046623
B-3	ASO2	300	1	ICV	14	0.298069374	0.259188812	0.375002333
B-4	ASO2	300	1	ICV	14	0.554396753	0.26874245	0.423986343
C-1	ASO2-MOE	300	1	ICV	14	0.758293434	1.193784006	1.182437644
C-2	ASO2-MOE	300	1	ICV	14	0.78775659	1.045941301	1.112582983
C-3	ASO2-MOE	300	1	ICV	14	1.284207414	1.026309917	1.214068244
C-4	ASO2-MOE	300	1	ICV	14	0.760039755	1.149280042	0.910485887
D-1	ASO2-OMe2	300	1	ICV	14	0.549771796	0.632394752	0.968014848
D-2	ASO2-OMe2	300	1	ICV	14	0.801816024	0.608423087	1.015465954
D-3	ASO2-OMe2	300	1	ICV	14	0.622322943	0.821199536	0.895957873
D-4	ASO2-OMe2	300	1	ICV	14	0.672142601	0.73558621	1.132152667
E-1	ASO2-MsPA1	300	1	ICV	14	0.559228136	0.445865175	0.752053782
E-2	ASO2-MsPA1	300	1	ICV	14	0.691965713	0.413881634	0.698440256
E-3	ASO2-MsPA1	300	1	ICV	14	0.823610923	0.457157867	0.801780088
E-4	ASO2-MsPA1	300	1	ICV	14	0.584918259	0.42252979	0.690980052
