contrast_id	aso	aso_name	condition	inoculum	label	gtox_score
RML_ASOB_vs_RML_PBS	ASOB	ASO B	tolerated	RML	ASO B (RML)	2.495211698819266
RML_ASO1_vs_RML_PBS	ASO1	ASO 1	tolerated	RML	ASO 1 (RML)	7.2928949805270555
CBH_ASO2_vs_CBH_PBS	ASO2	ASO 2	toxic	CBH	ASO 2 (CBH)	10.0483623892773
RML_ASOG_vs_RML_PBS	ASOG	ASO G	tolerated	RML	ASO G (RML)	10.764166361975233
RML_ASOA_vs_RML_PBS	ASOA	ASO A	tolerated	RML	ASO A (RML)	16.985464666338487
RML_ASOF_vs_RML_PBS	ASOF	ASO F	toxic	RML	ASO F (RML)	31.48294459907867
RML_ASOD_vs_RML_PBS	ASOD	ASO D	toxic	RML	ASO D (RML)	46.916659634300764
RML_ASO2_vs_RML_PBS	ASO2	ASO 2	toxic	RML	ASO 2 (RML)	48.85907245861059
RML_ASOC_vs_RML_PBS	ASOC	ASO C	toxic	RML	ASO C (RML)	58.941571795394964
RML_ASOI_vs_RML_PBS	ASOI	ASO I	toxic	RML	ASO I (RML)	66.38227703073947
