ensembl_gene_id	Gene	log2FC	padj	gene_biotype
ENSG00000211459	MT-RNR1	 1.46e-01	7.30e-01	Mt_rRNA
ENSG00000210082	MT-RNR2	 2.15e-01	5.86e-01	Mt_rRNA
ENSG00000198888	MT-ND1	 3.30e-01	4.45e-01	protein_coding
ENSG00000210112	MT-TM	 3.37e-01	4.27e-01	Mt_tRNA
ENSG00000198763	MT-ND2	 3.27e-01	4.50e-01	protein_coding
ENSG00000198804	MT-CO1	 3.49e-01	4.02e-01	protein_coding
ENSG00000210151	MT-TS1	 6.84e-01	4.31e-02	Mt_tRNA
ENSG00000198712	MT-CO2	 3.80e-01	3.50e-01	protein_coding
ENSG00000228253	MT-ATP8	 2.47e-01	5.77e-01	protein_coding
ENSG00000198899	MT-ATP6	 1.83e-01	7.16e-01	protein_coding
ENSG00000198938	MT-CO3	 5.40e-01	1.02e-02	protein_coding
ENSG00000198840	MT-ND3	 6.51e-01	4.04e-05	protein_coding
ENSG00000212907	MT-ND4L	 2.89e-01	5.22e-01	protein_coding
ENSG00000198886	MT-ND4	 2.05e-01	6.71e-01	protein_coding
ENSG00000198786	MT-ND5	 2.70e-01	5.45e-01	protein_coding
ENSG00000198727	MT-CYB	 3.36e-01	4.30e-01	protein_coding
ENSG00000205765	C5orf51	-1.36e-01	7.39e-01	protein_coding
ENSG00000137275	RIPK1	 2.98e-02	9.38e-01	protein_coding
ENSG00000272277	AL031963.3	-1.18e-01	7.78e-01	lncRNA
ENSG00000153404	PLEKHG4B	-4.41e-02	9.46e-01	protein_coding
ENSG00000167193	CRK	-3.11e-01	2.74e-01	protein_coding
ENSG00000185340	GAS2L1	 2.75e-01	1.72e-01	protein_coding
ENSG00000137806	NDUFAF1	-4.62e-02	9.10e-01	protein_coding
ENSG00000107295	SH3GL2	-4.78e-01	1.61e-01	protein_coding
ENSG00000267740	AC024592.3	-1.11e-01	8.22e-01	protein_coding
ENSG00000174886	NDUFA11	-3.92e-02	9.17e-01	protein_coding
ENSG00000176595	KBTBD11	-4.47e-01	2.09e-01	protein_coding
ENSG00000164366	CCDC127	 1.92e-01	5.75e-01	protein_coding
ENSG00000139684	ESD	-1.71e-01	5.92e-01	protein_coding
ENSG00000137815	RTF1	-1.73e-01	6.52e-01	protein_coding
ENSG00000161082	CELF5	 2.15e-01	6.61e-01	protein_coding
ENSG00000139505	MTMR6	-1.62e-01	7.29e-01	protein_coding
ENSG00000137177	KIF13A	-3.46e-01	1.72e-01	protein_coding
ENSG00000151876	FBXO4	-1.67e-01	5.58e-01	protein_coding
ENSG00000266441	AP005205.2	 1.98e-01	6.53e-01	lncRNA
ENSG00000256073	URB1-AS1	-1.99e-01	5.77e-01	lncRNA
ENSG00000119318	RAD23B	-5.60e-02	8.65e-01	protein_coding
ENSG00000148229	POLE3	 1.74e-01	3.59e-01	protein_coding
ENSG00000157653	C9orf43	-1.58e-01	7.46e-01	protein_coding
ENSG00000127528	KLF2	 7.02e-02	8.96e-01	protein_coding
ENSG00000166912	MTMR10	 6.05e-01	6.88e-02	protein_coding
ENSG00000073578	SDHA	-4.39e-02	8.59e-01	protein_coding
ENSG00000184979	USP18	-2.15e-01	2.50e-01	protein_coding
ENSG00000137825	ITPKA	-5.01e-01	1.46e-01	protein_coding
ENSG00000180011	ZADH2	 1.42e-02	9.84e-01	protein_coding
ENSG00000088756	ARHGAP28	 2.97e-02	9.48e-01	protein_coding
ENSG00000167196	FBXO22	-3.23e-01	2.54e-02	protein_coding
ENSG00000198690	FAN1	-6.27e-02	9.01e-01	protein_coding
ENSG00000063438	AHRR	-1.09e-01	8.47e-01	protein_coding
ENSG00000169752	NRG4	-1.42e-01	7.91e-01	protein_coding
ENSG00000249915	PDCD6	-1.81e-01	2.14e-01	protein_coding
ENSG00000186687	LYRM7	-1.29e-01	8.17e-01	protein_coding
ENSG00000169567	HINT1	 5.37e-02	8.31e-01	protein_coding
ENSG00000065325	GLP2R	-4.48e-02	9.28e-01	protein_coding
ENSG00000166979	EVA1C	-2.86e-02	9.34e-01	protein_coding
ENSG00000196284	SUPT3H	 6.42e-02	8.95e-01	protein_coding
ENSG00000253669	GASAL1	-2.44e-02	9.72e-01	lncRNA
ENSG00000234602	MCIDAS	-2.10e-02	9.74e-01	protein_coding
ENSG00000160284	SPATC1L	 3.13e-01	2.82e-01	protein_coding
ENSG00000261150	EPPK1	 7.19e-01	2.82e-05	protein_coding
ENSG00000100299	ARSA	 3.87e-01	1.25e-01	protein_coding
ENSG00000164078	MST1R	 2.79e-01	4.09e-01	protein_coding
ENSG00000182208	MOB2	-2.98e-01	1.22e-01	protein_coding
ENSG00000103855	CD276	 5.58e-01	1.47e-04	protein_coding
