dataset	group	inoculum	icv_dpi	harvest_dpi	aso
21-01ac	CBH_120_ASO1-OMe2	CBH	90	120	ASO1-OMe2
21-01ac	CBH_120_PBS	CBH	90	120	PBS
21-01ac	CBH_120_ASO1-MOE	CBH	90	120	ASO1-MOE
21-01ac	CBH_120_ASO1	CBH	90	120	ASO1
21-01ac	CBH_91_ASO1-OMe2	CBH	90	91	ASO1-OMe2
21-01ac	CBH_91_PBS	CBH	90	91	PBS
21-01ac	CBH_91_ASO1-MOE	CBH	90	91	ASO1-MOE
21-01ac	CBH_91_ASO1	CBH	90	91	ASO1
21-01ac	CBH_91_ASO2	CBH	90	91	ASO2
21-01ac	CBH_94_ASO1-OMe2	CBH	90	94	ASO1-OMe2
21-01ac	CBH_94_PBS	CBH	90	94	PBS
21-01ac	CBH_94_ASO1-MOE	CBH	90	94	ASO1-MOE
21-01ac	CBH_94_ASO1	CBH	90	94	ASO1
21-01ac	CBH_94_ASO2	CBH	90	94	ASO2
21-01ac	CBH_97_ASO1-OMe2	CBH	90	97	ASO1-OMe2
21-01ac	CBH_97_PBS	CBH	90	97	PBS
21-01ac	CBH_97_ASO1-MOE	CBH	90	97	ASO1-MOE
21-01ac	CBH_97_ASO1	CBH	90	97	ASO1
21-01ac	CBH_97_ASO2	CBH	90	97	ASO2
21-01ac	RML_120_ASO1	RML	90	120	ASO1
21-01ac	RML_120_PBS	RML	90	120	PBS
21-01ac	RML_149_PBS	RML	90	149	PBS
21-01ac	CBH_149_PBS	CBH	90	149	PBS
21-01ac	RML_60_NO	RML		60	none
21-01ac	CBH_60_NO	CBH		60	none
21-01ac	RML_89_NO	RML		89	none
21-01ac	CBH_89_NO	CBH		89	none
21-01ac	RML_91_ASO1-OMe2	RML	90	91	ASO1-OMe2
21-01ac	RML_91_PBS	RML	90	91	PBS
21-01ac	RML_91_ASO1-MOE	RML	90	91	ASO1-MOE
21-01ac	RML_91_ASO1	RML	90	91	ASO1
21-01ac	RML_91_ASO2	RML	90	91	ASO2
21-01ac	RML_94_ASO1-OMe2	RML	90	94	ASO1-OMe2
21-01ac	RML_94_PBS	RML	90	94	PBS
21-01ac	RML_94_ASO1-MOE	RML	90	94	ASO1-MOE
21-01ac	RML_94_ASO1	RML	90	94	ASO1
21-01ac	RML_94_ASO2	RML	90	94	ASO2
21-01ac	RML_97_ASO1-OMe2	RML	90	97	ASO1-OMe2
21-01ac	RML_97_PBS	RML	90	97	PBS
21-01ac	RML_97_ASO1-MOE	RML	90	97	ASO1-MOE
21-01ac	RML_97_ASO1	RML	90	97	ASO1
21-01ac	RML_97_ASO2	RML	90	97	ASO2
23-0afa	ASO4	RML	90	150	ASO4
23-0afa	PBS	RML	90	150	PBS
23-0afa	ASO1	RML	90	150	ASO1
23-0afa	ASO2	RML	90	95	ASO2
23-0afa	ASO3	RML	90	150	ASO3
23-0afa	ASO7	RML	90	98	ASO7
23-0afa	ASO8	RML	90	96	ASO8
23-0afa	ASO5	RML	90	122	ASO5
23-0afa	ASO6	RML	90	150	ASO6
24-0432	CBH_ASO2-OMe2	CBH	120	127	ASO2-OMe2
24-0432	CBH_PBS	CBH	120	127	PBS
24-0432	CBH_ASO2-MsPA1	CBH	120	127	ASO2-MsPA1
24-0432	CBH_ASO2-MOE	CBH	120	127	ASO2-MOE
24-0432	CBH_ASO2	CBH	120	127	ASO2
24-0432	RML_ASOA	RML	120	127	ASOA
24-0432	RML_PBS	RML	120	127	PBS
24-0432	RML_ASOF	RML	120	127	ASOF
24-0432	RML_ASO2-OMe2	RML	120	127	ASO2-OMe2
24-0432	RML_ASO2-MsPA1	RML	120	127	ASO2-MsPA1
24-0432	RML_ASO2-MOE	RML	120	127	ASO2-MOE
24-0432	RML_ASOC	RML	120	127	ASOC
24-0432	RML_ASOD	RML	120	127	ASOD
24-0432	RML_ASO1	RML	120	127	ASO1
24-0432	RML_ASO2	RML	120	127	ASO2
24-0432	RML_ASOB	RML	120	127	ASOB
24-0432	RML_ASOG	RML	120	127	ASOG
24-0432	RML_ASOI	RML	120	127	ASOI
