gene	sign
Apod	1
Prdx6	1
Atp1b2	-1
Ntsr2	-1
Slc1a2	-1
Slc6a11	-1
Fkbp5	1
Sgk1	1
Hes5	-1
Mlc1	-1
Ttyh1	-1
Cmtm5	-1
Slc1a3	-1
Fam107a	1
Fads2	-1
Hmgcs1	-1
Htra1	1
Luzp2	-1
Mt1	1
Cxcl14	-1
Atp1a2	-1
Mobp	1
Mt2	1
Nfia	-1
Gpr37l1	-1
Pllp	-1
Trim59	-1
Tsc22d3	1
Bcan	-1
Ezr	1
Neat1	-1
Gprc5b	-1
Qk	-1
Acss1	-1
Msmo1	-1
Grin2c	-1
Tlcd1	-1
Fth1	1
Adipor2	1
Car2	-1
Wscd1	-1
Btbd17	-1
Fnbp1	-1
Tmem47	-1
Tril	-1
B3galt5	1
Phldb1	-1
Myo1d	-1
Fabp5	-1
Myo6	-1
Slc39a12	-1
Sox9	-1
Lix1	-1
Cnp	-1
S1pr1	-1
Sox2ot	-1
Fjx1	1
Tlr3	-1
Opalin	-1
Sox10	-1
Dbndd2	1
Ednrb	-1
Dtna	-1
Lpar1	-1
Ypel2	-1
Lsamp	-1
Chn2	-1
Mfn1	-1
Tmbim1	1
Qdpr	-1
Scd2	-1
Trps1	-1
Asrgl1	-1
Slc4a4	-1
Aqp4	-1
Bcl2l1	1
Hdac8	-1
Gng11	-1
Gja1	-1
Tmcc3	1
Gsn	1
Ppp1r14a	-1
Slain1	-1
