FeatureID,FeatureName,microglia Average,microglia Log2 Fold Change,microglia P-Value
ENSMUSG00000051504,Siglech,4.320035095850466,9.716221896270635,0
ENSMUSG00000035697,Arhgap45,4.572571112297415,10.174845599767151,0
ENSMUSG00000018654,Ikzf1,3.7072717979472096,10.622932285179045,0
ENSMUSG00000022952,Runx1,2.841972483597004,9.800269674073885,0
ENSMUSG00000117613,Gm2629,3.644272407916734,10.577286047779754,0
ENSMUSG00000048163,Selplg,4.041114719476225,9.485234271687176,1.275065e-317
ENSMUSG00000113856,Gm10790,4.3566501259536485,9.44000663010605,2.03787240636e-313
ENSMUSG00000117404,Gm50035,1.1323736515734177,10.24008817307748,8.648539505698166e-304
ENSMUSG00000052085,Dock8,4.314112076274951,9.350990723523298,8.857340980834392e-304
ENSMUSG00000004609,Cd33,1.1905269346784721,10.033328904317068,8.23076066567799e-300
ENSMUSG00000098112,Bin2,1.2912182674622235,9.77556226721265,3.4317877943563274e-285
ENSMUSG00000015852,Fcrls,2.977663477508797,9.156816482935795,1.703580609928412e-278
ENSMUSG00000038147,Cd84,1.4866779134542114,9.439420712366296,6.47309654506009e-265
ENSMUSG00000030786,Itgam,1.559907973660576,9.34398996587616,5.523881230321445e-263
ENSMUSG00000021423,Ly86,5.1126428063193545,8.855189534531533,3.00336012573596e-252
ENSMUSG00000052160,Pld4,1.541062002283938,9.244414845014164,1.8109090978772021e-249
ENSMUSG00000022148,Fyb,3.947423318918082,8.793739038497092,6.172104054903856e-247
ENSMUSG00000030798,Cd37,2.0908259101567195,8.84156270593287,5.322064485529397e-246
ENSMUSG00000030737,Slco2b1,3.208122784628827,8.773625713284641,2.0468092424208636e-243
ENSMUSG00000024013,Fgd2,2.220593884492998,8.773054736226571,1.689048223539363e-240
ENSMUSG00000102674,8030442B05Rik,1.9249813620423055,8.795327042886115,2.2386838677962746e-239
ENSMUSG00000022901,Cd86,1.1797578081775362,9.20609186235422,2.0300581474793232e-237
ENSMUSG00000028859,Csf3r,1.511446904406364,8.731763062877505,8.147363582367083e-230
ENSMUSG00000024621,Csf1r,4.869260547398201,8.590452546474303,8.96341186851508e-230
ENSMUSG00000018008,Cyth4,2.56843667047323,8.599534939734808,1.0761949936563902e-225
ENSMUSG00000044811,Cd300c2,1.1899884783534254,8.982050470828618,2.1417523765762792e-224
ENSMUSG00000070780,Rbm47,1.591676896838337,8.725088971284057,4.181147039214726e-224
ENSMUSG00000018381,Abi3,1.2131421003304377,8.949874172194672,3.846953340025242e-223
ENSMUSG00000024300,Myo1f,2.2022863694414068,8.58116835007777,4.240555796916645e-220
ENSMUSG00000054675,Tmem119,1.396217250846349,8.578657824061992,1.519330956618413e-215
ENSMUSG00000026288,Inpp5d,7.972922804967949,8.420084416980828,9.545888860749974e-215
ENSMUSG00000002111,Spi1,1.161450293125945,8.794660590069723,1.9133943879627363e-211
ENSMUSG00000020377,Ltc4s,1.6923682296220885,8.501478916652028,2.0750912095044748e-209
ENSMUSG00000000628,Hk2,2.5323600966950948,8.345993051625921,3.458779073475044e-203
ENSMUSG00000020399,Havcr2,1.5792924013622607,8.436888376187067,3.458779073475044e-203
ENSMUSG00000038642,Ctss,7.062931615638859,8.2856817603525,1.2143382805028298e-201
ENSMUSG00000020143,Dock2,3.181199968376487,8.29735340506006,2.3567391722277713e-200
ENSMUSG00000036896,C1qc,6.348400072301757,8.225978015966653,3.876280178994138e-195
ENSMUSG00000044583,Tlr7,1.0402976199904153,8.373634010426002,9.997288907989879e-188
ENSMUSG00000028581,Laptm5,1.9901345773729682,8.173602745690133,6.969669946236809e-185
ENSMUSG00000036887,C1qa,7.2099301923766355,8.005500608161336,2.227951722606189e-176
ENSMUSG00000020101,Vsir,2.1495176495868207,7.993967306405138,5.877783961515938e-174
ENSMUSG00000084796,Mir142hg,2.1581329507875693,7.938046813861407,3.919453695261241e-166
ENSMUSG00000036905,C1qb,6.579397835746834,7.857197419482468,7.483247670598668e-165
ENSMUSG00000042286,Stab1,1.2158343819556716,8.079603333344467,1.3468541012779057e-164
ENSMUSG00000025017,Pik3ap1,1.051605202816398,7.979578599674527,4.906663927701977e-163
ENSMUSG00000032089,Il10ra,1.5453696528843124,7.908196699948983,2.193240121195386e-162
ENSMUSG00000020709,Adap2,2.942663816380755,7.794708780363864,1.4994530629956423e-160
ENSMUSG00000034792,Gna15,1.0451437269158363,7.935462844814352,9.050267992999548e-159
ENSMUSG00000034330,Plcg2,1.2680646454852111,7.864754843985834,1.1255114348068341e-157
ENSMUSG00000026395,Ptprc,2.129594765560089,7.685892096959154,5.510679454301836e-146
ENSMUSG00000005373,Mlxipl,1.251910955733807,7.665256024169598,2.0213655441495932e-143
ENSMUSG00000023992,Trem2,2.0962104734071874,7.5715725748428095,9.830838000247518e-140
ENSMUSG00000036908,Unc93b1,3.307198748437438,7.50345704674271,1.0300998725652875e-139
ENSMUSG00000041797,Abca9,2.0407494719273673,7.510593211862435,1.724911367433956e-136
ENSMUSG00000086507,Adap2os,2.6045132442513657,7.474195630232474,5.9254074830477806e-136
ENSMUSG00000026786,Apbb1ip,5.238103130055259,7.416262576262711,3.007842231289833e-134
ENSMUSG00000027848,Olfml3,1.5717540128116056,7.456917633786292,1.9396486618612524e-130
ENSMUSG00000024965,Fermt3,1.3106026951639083,7.466589711608855,2.896311327053481e-130
ENSMUSG00000048779,P2ry6,1.90236619639034,7.400890517400333,2.610349942824055e-128
ENSMUSG00000012819,Cdh23,2.0509801421032563,7.200795620839268,1.6383562857302483e-114
ENSMUSG00000058715,Fcer1g,1.8872894192890297,7.173552428109787,1.1574927588048829e-113
ENSMUSG00000022488,Nckap1l,1.2675261891601644,7.134146325304154,1.6315180991176526e-109
ENSMUSG00000040229,Gpr34,4.013653446898838,7.03027117428597,7.546258526409676e-108
ENSMUSG00000016087,Fli1,2.5005911735173334,6.921234475129033,5.236486034537432e-102
ENSMUSG00000030579,Tyrobp,1.3768328231446645,6.804247619269591,2.4686256272280952e-92
ENSMUSG00000026365,Cfh,2.424130375360688,6.723130102011813,7.467533734050674e-91
ENSMUSG00000040723,Rcsd1,1.1350659331986517,6.677915387724643,2.59243736046918e-86
ENSMUSG00000022817,Itgb5,3.5031968507544726,6.558969529808051,1.0922839080432019e-84
ENSMUSG00000007613,Tgfbr1,12.344649708022908,6.5489380417476575,1.809323282213991e-84
ENSMUSG00000032359,Ctsh,1.3999864451216768,6.506296557923926,5.430433828638171e-80
ENSMUSG00000100627,A830008E24Rik,1.212603644005391,6.499512996657712,1.5986579007557653e-78
ENSMUSG00000029484,Anxa3,1.8070594268570566,6.402531463945314,9.683991302318657e-76
ENSMUSG00000079227,Ccr5,1.3660636966437285,6.416127938841993,3.4907400632607873e-73
ENSMUSG00000029925,Tbxas1,1.8226746602834138,6.336372592744256,2.7945793850108437e-72
ENSMUSG00000038872,Zfhx3,6.7990880163659275,6.2061436308780795,4.368780075734888e-69
ENSMUSG00000055541,Lair1,2.9582790498071123,6.217380300956094,3.0826379942218064e-68
ENSMUSG00000048120,Entpd1,3.2393532514815413,6.192839694812223,1.3047294588590207e-67
ENSMUSG00000027947,Il6ra,1.404294095722051,6.021254144603239,3.089908864643893e-59
ENSMUSG00000031613,Hpgd,1.3929865128960683,6.049505063151808,4.959380878399586e-59
ENSMUSG00000071042,Rasgrp3,1.6342149465170341,5.962801201810614,1.492543032005623e-58
ENSMUSG00000073538,E330020D12Rik,1.5109084480813173,5.943019980515052,4.1779578778144225e-57
ENSMUSG00000052336,Cx3cr1,4.9893363078836375,5.809250853569757,1.8564522460002163e-53
ENSMUSG00000051212,Gpr183,1.243834110858105,5.774963082907022,5.404791774468665e-50
ENSMUSG00000037922,Bank1,1.2007576048543611,5.779087399723135,1.1468282490910622e-49
ENSMUSG00000028159,Dapp1,1.6439071603678765,5.6917473764658775,5.9960340802685e-49
ENSMUSG00000032440,Tgfbr2,1.8210592913082735,5.461132976763038,3.665005182817895e-42
