code	aso	readout	value
Ctrl ASO4	ASO4	a_fob	0
Ctrl ASO4	ASO4	a_fob	0
Ctrl ASO4	ASO4	a_fob	0
Ctrl ASO4	ASO4	a_fob	0
Ctrl ASO4	ASO4	max_d_fob	0
Ctrl ASO4	ASO4	max_d_fob	0
Ctrl ASO4	ASO4	max_d_fob	0
Ctrl ASO4	ASO4	max_d_fob	0
Ctrl ASO4	ASO4	brain_iba1	0
Ctrl ASO4	ASO4	brain_iba1	0
Ctrl ASO4	ASO4	brain_iba1	0
Ctrl ASO4	ASO4	brain_iba1	0
Ctrl ASO4	ASO4	cerebellum_iba1	0
Ctrl ASO4	ASO4	cerebellum_iba1	0
Ctrl ASO4	ASO4	cerebellum_iba1	0
Ctrl ASO4	ASO4	cerebellum_iba1	0
Ctrl ASO4	ASO4	cerebellum_calbindin	0
Ctrl ASO4	ASO4	cerebellum_calbindin	0
Ctrl ASO4	ASO4	cerebellum_calbindin	0
Ctrl ASO4	ASO4	cerebellum_calbindin	0
ASO1	ASO1	a_fob	3
ASO1	ASO1	a_fob	3
ASO1	ASO1	a_fob	2
ASO1	ASO1	a_fob	4
ASO1	ASO1	max_d_fob	0
ASO1	ASO1	max_d_fob	0
ASO1	ASO1	max_d_fob	0
ASO1	ASO1	max_d_fob	0
ASO1	ASO1	brain_iba1	0
ASO1	ASO1	brain_iba1	0
ASO1	ASO1	brain_iba1	0
ASO1	ASO1	brain_iba1	0
ASO1	ASO1	cerebellum_iba1	1
ASO1	ASO1	cerebellum_iba1	0
ASO1	ASO1	cerebellum_iba1	0
ASO1	ASO1	cerebellum_iba1	0
ASO1	ASO1	cerebellum_calbindin	0
ASO1	ASO1	cerebellum_calbindin	0
ASO1	ASO1	cerebellum_calbindin	0
ASO1	ASO1	cerebellum_calbindin	0
ASO6	ASO6	a_fob	2
ASO6	ASO6	a_fob	6
ASO6	ASO6	a_fob	5
ASO6	ASO6	a_fob	5
ASO6	ASO6	max_d_fob	0
ASO6	ASO6	max_d_fob	0
ASO6	ASO6	max_d_fob	0
ASO6	ASO6	max_d_fob	0
ASO6	ASO6	brain_iba1	0
ASO6	ASO6	brain_iba1	0
ASO6	ASO6	brain_iba1	0
ASO6	ASO6	brain_iba1	0
ASO6	ASO6	cerebellum_iba1	0
ASO6	ASO6	cerebellum_iba1	0
ASO6	ASO6	cerebellum_iba1	0
ASO6	ASO6	cerebellum_iba1	0
