treatment	value	tissue	analyte
PBS	0.8540000000000001	Cortex	Aif1
otherASO1	1.033	Cortex	Aif1
otherASO2	1.054	Cortex	Aif1
ASOF	1.21	Cortex	Aif1
ASOA	1.018	Cortex	Aif1
ASOC	1.023	Cortex	Aif1
ASOD	1.045	Cortex	Aif1
ASOB	1.0759999999999998	Cortex	Aif1
ASOG	1.18	Cortex	Aif1
ASOE	1.1340000000000001	Cortex	Aif1
ASOI	1.206	Cortex	Aif1
ASO5	1.16	Cortex	Aif1
ASO6	1.13	Cortex	Aif1
ASO2	0.963	Cortex	Aif1
ASO3	1.119	Cortex	Aif1
ASO1	1.0979999999999999	Cortex	Aif1
ASO7	0.993	Cortex	Aif1
ASO8	1.1340000000000001	Cortex	Aif1
ASO4	0.991	Cortex	Aif1
PBS	1.0390000000000001	Cortex	Aif1
otherASO1	1.021	Cortex	Aif1
otherASO2	1.024	Cortex	Aif1
ASOF	1.156	Cortex	Aif1
ASOA	1.081	Cortex	Aif1
ASOC	1.085	Cortex	Aif1
ASOD	0.991	Cortex	Aif1
ASOB	0.9690000000000001	Cortex	Aif1
ASOG	1.052	Cortex	Aif1
ASOE	1.093	Cortex	Aif1
ASOI	1.0390000000000001	Cortex	Aif1
ASO5	1.012	Cortex	Aif1
ASO6	1.23	Cortex	Aif1
ASO2	1.1059999999999999	Cortex	Aif1
ASO3	1.242	Cortex	Aif1
ASO1	1.127	Cortex	Aif1
ASO7	1.065	Cortex	Aif1
ASO8	1.0170000000000001	Cortex	Aif1
ASO4	1.053	Cortex	Aif1
PBS	1.024	Cortex	Aif1
otherASO1	1.063	Cortex	Aif1
otherASO2	1.005	Cortex	Aif1
ASOF	1.087	Cortex	Aif1
ASOA	1.064	Cortex	Aif1
ASOC	0.973	Cortex	Aif1
ASOD	1.126	Cortex	Aif1
ASOB	1.148	Cortex	Aif1
ASOG	1.125	Cortex	Aif1
ASOE	1.129	Cortex	Aif1
ASOI	1.068	Cortex	Aif1
ASO5	1.16	Cortex	Aif1
ASO6	0.983	Cortex	Aif1
ASO2	1.228	Cortex	Aif1
ASO3	0.9570000000000001	Cortex	Aif1
ASO1	1.148	Cortex	Aif1
ASO7	1.083	Cortex	Aif1
ASO8	0.9740000000000001	Cortex	Aif1
ASO4	1.083	Cortex	Aif1
PBS	1.083	Cortex	Aif1
otherASO1	1.156	Cortex	Aif1
otherASO2	1.053	Cortex	Aif1
ASOF	1.171	Cortex	Aif1
ASOA	1.085	Cortex	Aif1
ASOC	0.9129999999999999	Cortex	Aif1
ASOD	1.064	Cortex	Aif1
ASOB	1.06	Cortex	Aif1
ASOG	0.956	Cortex	Aif1
ASOE	1.1179999999999999	Cortex	Aif1
ASOI	1.046	Cortex	Aif1
ASO5	0.873	Cortex	Aif1
ASO6	1.0270000000000001	Cortex	Aif1
ASO2	0.981	Cortex	Aif1
ASO3	1.078	Cortex	Aif1
