aso	readout	value
ASO4	aFOB 1st ICV	0
ASO4	aFOB 1st ICV	0
ASO4	aFOB 1st ICV	0
ASO4	aFOB 1st ICV	0
ASO4	aFOB 2nd ICV	0
ASO4	aFOB 2nd ICV	0
ASO4	aFOB 2nd ICV	0
ASO4	aFOB 2nd ICV	0
ASO4	aFOB 3rd ICV	0
ASO4	aFOB 3rd ICV	0
ASO4	aFOB 3rd ICV	0
ASO4	aFOB 3rd ICV	0
ASO4	Max dFOB	0
ASO4	Max dFOB	0
ASO4	Max dFOB	0
ASO4	Max dFOB	0
ASO4	cord Iba1	0
ASO4	cord Iba1	0
ASO4	cord Iba1	0
ASO4	cord Iba1	0
ASO4	brain Iba1	0
ASO4	brain Iba1	0
ASO4	brain Iba1	0
ASO4	brain Iba1	0
ASO4	cerebellum Iba1	0
ASO4	cerebellum Iba1	0
ASO4	cerebellum Iba1	0
ASO4	cerebellum Iba1	0
ASO4	cerebellum Calbindin	0
ASO4	cerebellum Calbindin	0
ASO4	cerebellum Calbindin	0
ASO4	cerebellum Calbindin	0
ASO1	aFOB 1st ICV	1
ASO1	aFOB 1st ICV	2
ASO1	aFOB 1st ICV	1
ASO1	aFOB 1st ICV	1
ASO1	aFOB 2nd ICV	1
ASO1	aFOB 2nd ICV	1
ASO1	aFOB 2nd ICV	1
ASO1	aFOB 2nd ICV	1
ASO1	aFOB 3rd ICV	1
ASO1	aFOB 3rd ICV	1
ASO1	aFOB 3rd ICV	1
ASO1	aFOB 3rd ICV	1
ASO1	Max dFOB	0
ASO1	Max dFOB	0
ASO1	Max dFOB	0
ASO1	Max dFOB	0
ASO1	cord Iba1	1
ASO1	cord Iba1	1
ASO1	cord Iba1	0
ASO1	cord Iba1	0
ASO1	brain Iba1	0
ASO1	brain Iba1	0
ASO1	brain Iba1	0
ASO1	brain Iba1	0
ASO1	cerebellum Iba1	0
ASO1	cerebellum Iba1	0
ASO1	cerebellum Iba1	0
ASO1	cerebellum Iba1	0
ASO1	cerebellum Calbindin	0
ASO1	cerebellum Calbindin	0
ASO1	cerebellum Calbindin	0
ASO1	cerebellum Calbindin	0
ASO6	aFOB 1st ICV	2
ASO6	aFOB 1st ICV	3
ASO6	aFOB 1st ICV	2
ASO6	aFOB 1st ICV	3
ASO6	aFOB 2nd ICV	3
ASO6	aFOB 2nd ICV	2
ASO6	aFOB 2nd ICV	1
ASO6	aFOB 2nd ICV	1
ASO6	aFOB 3rd ICV	1
ASO6	aFOB 3rd ICV	1
ASO6	aFOB 3rd ICV	1
ASO6	aFOB 3rd ICV	2
ASO6	Max dFOB	0
ASO6	Max dFOB	0
ASO6	Max dFOB	0
ASO6	Max dFOB	0
ASO6	cord Iba1	1
ASO6	cord Iba1	1
ASO6	cord Iba1	0
ASO6	cord Iba1	0
ASO6	brain Iba1	0
ASO6	brain Iba1	0
ASO6	brain Iba1	0
ASO6	brain Iba1	0
ASO6	cerebellum Iba1	0
ASO6	cerebellum Iba1	0
ASO6	cerebellum Iba1	0
ASO6	cerebellum Iba1	0
ASO6	cerebellum Calbindin	0
ASO6	cerebellum Calbindin	0
ASO6	cerebellum Calbindin	0
ASO6	cerebellum Calbindin	0
ASO3	aFOB 1st ICV	0
ASO3	aFOB 1st ICV	0
ASO3	aFOB 1st ICV	0
ASO3	aFOB 1st ICV	0
ASO3	aFOB 2nd ICV	0
ASO3	aFOB 2nd ICV	0
ASO3	aFOB 2nd ICV	0
ASO3	aFOB 2nd ICV	0
ASO3	aFOB 3rd ICV	0
ASO3	aFOB 3rd ICV	0
ASO3	aFOB 3rd ICV	0
ASO3	aFOB 3rd ICV	0
ASO3	Max dFOB	0
ASO3	Max dFOB	0
ASO3	Max dFOB	0
ASO3	Max dFOB	0
ASO3	cord Iba1	1
ASO3	cord Iba1	1
ASO3	cord Iba1	1
ASO3	cord Iba1	0
ASO3	brain Iba1	0
ASO3	brain Iba1	0
ASO3	brain Iba1	0
ASO3	brain Iba1	0
ASO3	cerebellum Iba1	0
ASO3	cerebellum Iba1	0
ASO3	cerebellum Iba1	0
ASO3	cerebellum Iba1	0
ASO3	cerebellum Calbindin	0
ASO3	cerebellum Calbindin	0
ASO3	cerebellum Calbindin	0
ASO3	cerebellum Calbindin	0
ASO2	aFOB 1st ICV	0
ASO2	aFOB 1st ICV	0
ASO2	aFOB 1st ICV	0
ASO2	aFOB 1st ICV	0
ASO2	aFOB 2nd ICV	1
ASO2	aFOB 2nd ICV	1
ASO2	aFOB 2nd ICV	1
ASO2	aFOB 2nd ICV	1
ASO2	aFOB 3rd ICV	0
ASO2	aFOB 3rd ICV	0
ASO2	aFOB 3rd ICV	0
ASO2	aFOB 3rd ICV	0
ASO2	Max dFOB	0
ASO2	Max dFOB	0
ASO2	Max dFOB	0
ASO2	Max dFOB	0
ASO2	cord Iba1	1
ASO2	cord Iba1	1
ASO2	cord Iba1	1
ASO2	cord Iba1	1
ASO2	brain Iba1	0
ASO2	brain Iba1	0
ASO2	brain Iba1	0
ASO2	brain Iba1	0
ASO2	cerebellum Iba1	0
ASO2	cerebellum Iba1	0
ASO2	cerebellum Iba1	0
ASO2	cerebellum Iba1	0
ASO2	cerebellum Calbindin	0
ASO2	cerebellum Calbindin	0
ASO2	cerebellum Calbindin	0
ASO2	cerebellum Calbindin	0
ASO5	aFOB 1st ICV	0
ASO5	aFOB 1st ICV	0
ASO5	aFOB 1st ICV	0
ASO5	aFOB 1st ICV	0
ASO5	aFOB 2nd ICV	0
ASO5	aFOB 2nd ICV	0
ASO5	aFOB 2nd ICV	0
ASO5	aFOB 2nd ICV	0
ASO5	aFOB 3rd ICV	0
ASO5	aFOB 3rd ICV	0
ASO5	aFOB 3rd ICV	0
ASO5	aFOB 3rd ICV	0
ASO5	Max dFOB	2
ASO5	Max dFOB	0
ASO5	Max dFOB	0
ASO5	Max dFOB	0
ASO5	cord Iba1	2
ASO5	cord Iba1	2
ASO5	cord Iba1	1
ASO5	cord Iba1	0
ASO5	brain Iba1	1
ASO5	brain Iba1	1
ASO5	brain Iba1	0
ASO5	brain Iba1	0
ASO5	cerebellum Iba1	1
ASO5	cerebellum Iba1	1
ASO5	cerebellum Iba1	0
ASO5	cerebellum Iba1	0
ASO5	cerebellum Calbindin	0
ASO5	cerebellum Calbindin	0
ASO5	cerebellum Calbindin	0
ASO5	cerebellum Calbindin	0
ASO7	aFOB 1st ICV	0
ASO7	aFOB 1st ICV	0
ASO7	aFOB 1st ICV	0
ASO7	aFOB 1st ICV	0
ASO7	aFOB 2nd ICV	1
ASO7	aFOB 2nd ICV	0
ASO7	aFOB 2nd ICV	1
ASO7	aFOB 2nd ICV	1
ASO7	aFOB 3rd ICV	0
ASO7	aFOB 3rd ICV	0
ASO7	aFOB 3rd ICV	0
ASO7	aFOB 3rd ICV	0
ASO7	Max dFOB	0
ASO7	Max dFOB	7
ASO7	Max dFOB	0
ASO7	Max dFOB	0
ASO7	cord Iba1	2
ASO7	cord Iba1	2
ASO7	cord Iba1	1
ASO7	brain Iba1	0
ASO7	brain Iba1	1
ASO7	brain Iba1	1
ASO7	cerebellum Iba1	4
ASO7	cerebellum Iba1	3
ASO7	cerebellum Iba1	3
ASO7	cerebellum Calbindin	1
ASO7	cerebellum Calbindin	1
ASO7	cerebellum Calbindin	1
ASO8	aFOB 1st ICV	6
ASO8	aFOB 1st ICV	6
ASO8	aFOB 1st ICV	5
ASO8	aFOB 1st ICV	5
ASO8	aFOB 2nd ICV	5
ASO8	aFOB 2nd ICV	6
ASO8	aFOB 3rd ICV	6
ASO8	aFOB 3rd ICV	6
ASO8	Max dFOB	0
ASO8	Max dFOB	0
ASO8	cord Iba1	2
ASO8	cord Iba1	2
ASO8	brain Iba1	2
ASO8	brain Iba1	1
ASO8	cerebellum Iba1	4
ASO8	cerebellum Iba1	4
ASO8	cerebellum Calbindin	1
ASO8	cerebellum Calbindin	1
