aso	dose	readout	value
ASO1	500 ug	aFOB	1
ASO1	500 ug	aFOB	1
ASO1	500 ug	aFOB	1
ASO1	500 ug	aFOB	1
ASO1	500 ug	Max dFOB	0
ASO1	500 ug	Max dFOB	0
ASO1	500 ug	Max dFOB	0
ASO1	500 ug	Max dFOB	0
ASO1	500 ug	Cord Iba1	1
ASO1	500 ug	Cord Iba1	1
ASO1	500 ug	Cord Iba1	1
ASO1	500 ug	Cord Iba1	1
ASO1	500 ug	Brain Iba1	2
ASO1	500 ug	Brain Iba1	2
ASO1	500 ug	Brain Iba1	2
ASO1	500 ug	Brain Iba1	2
ASO1	500 ug	Cerebellum Iba1	0
ASO1	500 ug	Cerebellum Iba1	0
ASO1	500 ug	Cerebellum Iba1	1
ASO1	500 ug	Cerebellum Iba1	1
ASO1	500 ug	Cerebellum Calbindin	0
ASO1	500 ug	Cerebellum Calbindin	0
ASO1	500 ug	Cerebellum Calbindin	0
ASO1	500 ug	Cerebellum Calbindin	0
ASO2	500 ug	aFOB	0
ASO2	500 ug	aFOB	0
ASO2	500 ug	aFOB	0
ASO2	500 ug	aFOB	0
ASO2	500 ug	Max dFOB	0
ASO2	500 ug	Max dFOB	0
ASO2	500 ug	Max dFOB	0
ASO2	500 ug	Max dFOB	0
ASO2	500 ug	Cord Iba1	1
ASO2	500 ug	Cord Iba1	1
ASO2	500 ug	Cord Iba1	1
ASO2	500 ug	Cord Iba1	1
ASO2	500 ug	Brain Iba1	2
ASO2	500 ug	Brain Iba1	2
ASO2	500 ug	Brain Iba1	1
ASO2	500 ug	Brain Iba1	1
ASO2	500 ug	Cerebellum Iba1	0
ASO2	500 ug	Cerebellum Iba1	0
ASO2	500 ug	Cerebellum Iba1	1
ASO2	500 ug	Cerebellum Iba1	1
ASO2	500 ug	Cerebellum Calbindin	0
ASO2	500 ug	Cerebellum Calbindin	0
ASO2	500 ug	Cerebellum Calbindin	0
ASO2	500 ug	Cerebellum Calbindin	0
ASO1	1000 ug	aFOB	2
ASO1	1000 ug	aFOB	5
ASO1	1000 ug	aFOB	2
ASO1	1000 ug	aFOB	4
ASO1	1000 ug	Max dFOB	0
ASO1	1000 ug	Max dFOB	0
ASO1	1000 ug	Max dFOB	0
ASO1	1000 ug	Max dFOB	0
ASO1	1000 ug	Cord Iba1	1
ASO1	1000 ug	Cord Iba1	1
ASO1	1000 ug	Cord Iba1	1
ASO1	1000 ug	Cord Iba1	1
ASO1	1000 ug	Brain Iba1	2
ASO1	1000 ug	Brain Iba1	2
ASO1	1000 ug	Brain Iba1	2
ASO1	1000 ug	Brain Iba1	2
ASO1	1000 ug	Cerebellum Iba1	1
ASO1	1000 ug	Cerebellum Iba1	1
ASO1	1000 ug	Cerebellum Iba1	1
ASO1	1000 ug	Cerebellum Iba1	0
ASO1	1000 ug	Cerebellum Calbindin	0
ASO1	1000 ug	Cerebellum Calbindin	0
ASO1	1000 ug	Cerebellum Calbindin	0
ASO1	1000 ug	Cerebellum Calbindin	0
ASO2	1000 ug	aFOB	7
ASO2	1000 ug	aFOB	7
ASO2	1000 ug	aFOB	2
ASO2	1000 ug	aFOB	2
ASO2	1000 ug	Max dFOB	0
ASO2	1000 ug	Max dFOB	0
ASO2	1000 ug	Cord Iba1	1
ASO2	1000 ug	Cord Iba1	2
ASO2	1000 ug	Brain Iba1	2
ASO2	1000 ug	Brain Iba1	2
ASO2	1000 ug	Brain Iba1	2
ASO2	1000 ug	Brain Iba1	2
ASO2	1000 ug	Cerebellum Iba1	2
ASO2	1000 ug	Cerebellum Iba1	1
ASO2	1000 ug	Cerebellum Calbindin	0
ASO2	1000 ug	Cerebellum Calbindin	0
