FeatureID,FeatureName,oligodendrocyte Average,oligodendrocyte Log2 Fold Change,oligodendrocyte P-Value
ENSMUSG00000033740,St18,21.456295851562825,8.509289125786506,0
ENSMUSG00000032841,Prr5l,11.534154516079946,8.69459068418324,0
ENSMUSG00000110027,C030029H02Rik,5.079737537015529,8.739373765455358,0
ENSMUSG00000111110,Gm36855,1.2656915464697807,8.545371020693013,0
ENSMUSG00000116885,4930420G21Rik,1.8867369271176386,8.709883092803363,0
ENSMUSG00000117864,Gm19500,2.1161153448206265,8.695109585659498,0
ENSMUSG00000036634,Mag,12.757417684708711,8.327979398530374,7.24193402e-315
ENSMUSG00000026828,Galnt5,1.0034311359400063,8.737122995513596,6.225461765347887e-308
ENSMUSG00000047109,Cldn14,1.0681344121475542,8.743078212104894,1.5245199530760588e-305
ENSMUSG00000076439,Mog,11.593023890334354,8.243376711683252,2.2602532708438627e-305
ENSMUSG00000091712,Sec14l5,5.03757433653602,8.1578431589971,3.168490871033624e-293
ENSMUSG00000111994,A330049N07Rik,2.374928449650818,8.079002671468444,3.963924662248574e-279
ENSMUSG00000100147,1700047M11Rik,5.8887936669713845,7.991014528594192,4.287034871672153e-275
ENSMUSG00000031425,Plp1,55.84794339740512,7.956207881938084,5.944765316612463e-275
ENSMUSG00000105891,A230001M10Rik,2.5162679833337,7.984981850490331,3.963889796329574e-270
ENSMUSG00000026418,Tnni1,1.5213225229618963,8.01275545935254,1.5780253620712235e-269
ENSMUSG00000030994,D7Ertd443e,5.830985002163001,7.923749144098226,1.1261003708202286e-267
ENSMUSG00000050121,Opalin,3.9726220527265417,7.9240192039979185,6.576700012820538e-267
ENSMUSG00000033579,Fa2h,3.7745345636813026,7.846359203356624,1.511349769910175e-259
ENSMUSG00000020774,Aspa,7.817693794568532,7.776755221891214,4.6335699492050846e-254
ENSMUSG00000026830,Ermn,5.532660470468365,7.774608596624381,4.6400754256303265e-253
ENSMUSG00000037625,Cldn11,6.563935229366536,7.758778646462535,4.0972987072277116e-252
ENSMUSG00000041669,Prima1,1.188790111632941,7.852718240263671,2.5364327188926067e-250
ENSMUSG00000027375,Mal,17.631377589195317,7.66410863425822,1.8965655982720309e-243
ENSMUSG00000037280,Galnt6,1.2004579155392199,7.775514240834121,3.810277901778406e-243
ENSMUSG00000004894,Hapln2,2.8612637306534534,7.6209234166638975,1.0088968381647358e-234
