aso	readout	value
ASO1	dFOB post 1st IT	0
ASO1	dFOB post 1st IT	0
ASO1	dFOB post 1st IT	0
ASO1	dFOB post 1st IT	0
ASO1	dFOB post 1st IT	0
ASO1	dFOB post 2nd IT	2
ASO1	dFOB post 2nd IT	3
ASO1	dFOB post 2nd IT	0
ASO1	dFOB post 2nd IT	0
ASO1	dFOB post 2nd IT	2
ASO1	dFOB post 2nd IT	2
ASO1	dFOB post 3rd IT	2
ASO1	dFOB post 3rd IT	3
ASO1	dFOB post 3rd IT	0
ASO1	dFOB post 3rd IT	0
ASO1	dFOB post 3rd IT	5
ASO1	dFOB post 3rd IT	5
ASO6	dFOB post 1st IT	0
ASO6	dFOB post 1st IT	0
ASO6	dFOB post 1st IT	0
ASO6	dFOB post 1st IT	0
ASO6	dFOB post 1st IT	0
ASO6	dFOB post 1st IT	0
ASO6	dFOB post 2nd IT	7
ASO6	dFOB post 2nd IT	2
ASO6	dFOB post 2nd IT	0
ASO6	dFOB post 2nd IT	0
ASO6	dFOB post 2nd IT	4
ASO6	dFOB post 2nd IT	4
ASO6	dFOB post 3rd IT	-
ASO6	dFOB post 3rd IT	5
ASO6	dFOB post 3rd IT	5
ASO6	dFOB post 3rd IT	5
ASO6	dFOB post 3rd IT	-
ASO6	dFOB post 3rd IT	-
ASO2	dFOB post 1st IT	0
ASO2	dFOB post 1st IT	0
ASO2	dFOB post 1st IT	0
ASO2	dFOB post 1st IT	0
ASO2	dFOB post 2nd IT	0
ASO2	dFOB post 2nd IT	0
ASO2	dFOB post 2nd IT	0
ASO2	dFOB post 2nd IT	0
ASO2	dFOB post 3rd IT	0
ASO2	dFOB post 3rd IT	1
ASO2	dFOB post 3rd IT	0
ASO2	dFOB post 3rd IT	0
ASO5	dFOB post 1st IT	0
ASO5	dFOB post 1st IT	0
ASO5	dFOB post 1st IT	0
ASO5	dFOB post 1st IT	0
ASO5	dFOB post 1st IT	0
ASO5	dFOB post 1st IT	0
ASO5	dFOB post 2nd IT	0
ASO5	dFOB post 2nd IT	0
ASO5	dFOB post 2nd IT	0
ASO5	dFOB post 2nd IT	0
ASO5	dFOB post 2nd IT	0
ASO5	dFOB post 2nd IT	0
ASO5	dFOB post 3rd IT	0
ASO5	dFOB post 3rd IT	0
ASO5	dFOB post 3rd IT	0
ASO5	dFOB post 3rd IT	0
ASO5	dFOB post 3rd IT	3
ASO5	dFOB post 3rd IT	3
