treatment	value	tissue	target
PBS	1.172782	tsc	Aif1
ASO4	0.7506102	tsc	Aif1
ASO1	1.219091	tsc	Aif1
ASO2	1.4267679999999998	tsc	Aif1
ASO3	2.056302	tsc	Aif1
ASO7	1.196834	tsc	Aif1
ASO8	1.52683	tsc	Aif1
ASO5	1.102827	tsc	Aif1
ASO6	1.8072659999999998	tsc	Aif1
PBS	1.39126	cortex	Aif1
ASO4	0.686713	cortex	Aif1
ASO1	0.8334921	cortex	Aif1
ASO2	1.126515	cortex	Aif1
ASO3	0.9937507	cortex	Aif1
ASO7	0.8214189000000001	cortex	Aif1
ASO8	1.025739	cortex	Aif1
ASO5	1.068531	cortex	Aif1
ASO6	2.349164	cortex	Aif1
PBS	0.7502177	tsc	Aif1
ASO4	1.296349	tsc	Aif1
ASO1	0.9900192	tsc	Aif1
ASO2	1.211471	tsc	Aif1
ASO3	1.318707	tsc	Aif1
ASO7	0.8871608999999999	tsc	Aif1
ASO8	1.545267	tsc	Aif1
ASO5	0.6333212	tsc	Aif1
ASO6	1.558119	tsc	Aif1
PBS	0.9919800999999999	cortex	Aif1
ASO4	0.7186391000000001	cortex	Aif1
ASO1	0.9147695	cortex	Aif1
ASO2	1.280976	cortex	Aif1
ASO3	0.955565	cortex	Aif1
ASO7	0.878294	cortex	Aif1
ASO8	0.9862347	cortex	Aif1
ASO5	0.9102583	cortex	Aif1
ASO6	1.2339010000000001	cortex	Aif1
PBS	1.230343	tsc	Aif1
ASO4	0.9621913000000001	tsc	Aif1
ASO1	1.9162620000000001	tsc	Aif1
ASO2	1.2801859999999998	tsc	Aif1
ASO3	1.409394	tsc	Aif1
ASO7	0.9547411	tsc	Aif1
ASO8	1.154661	tsc	Aif1
ASO5	1.113095	tsc	Aif1
ASO6	2.423263	tsc	Aif1
PBS	0.8848365	cortex	Aif1
ASO4	0.8400556	cortex	Aif1
ASO1	1.141513	cortex	Aif1
ASO2	0.9386481999999999	cortex	Aif1
ASO3	1.058246	cortex	Aif1
ASO7	0.8754579	cortex	Aif1
ASO8	0.7358846	cortex	Aif1
ASO5	0.9907555000000001	cortex	Aif1
ASO6	3.411109	cortex	Aif1
PBS	0.8466577	tsc	Aif1
ASO4	0.9962405	tsc	Aif1
ASO1	2.035172	tsc	Aif1
ASO2	1.24489	tsc	Aif1
ASO3	1.5547030000000002	tsc	Aif1
ASO7	1.6872	tsc	Aif1
ASO8	1.159029	tsc	Aif1
ASO5	0.6892946999999999	tsc	Aif1
ASO6	1.208703	tsc	Aif1
PBS	0.7319231	cortex	Aif1
ASO4	0.7064856	cortex	Aif1
ASO1	1.396004	cortex	Aif1
ASO2	0.8493013	cortex	Aif1
ASO3	0.7613509	cortex	Aif1
ASO7	1.181627	cortex	Aif1
ASO8	0.8315667000000001	cortex	Aif1
ASO5	0.8366893000000001	cortex	Aif1
ASO6	0.9835953000000001	cortex	Aif1
