GeneID	Enrichment	Cluster	Expressed_4wpi_main	log2FC_4wpi_main	Pval_4wpi_main	FDR_4wpi_main	Expressed_8wpi_main	log2FC_8wpi_main	Pval_8wpi_main	FDR_8wpi_main	Expressed_12wpi_main	log2FC_12wpi_main	Pval_12wpi_main	FDR_12wpi_main	Expressed_14wpi_main	log2FC_14wpi_main	Pval_14wpi_main	FDR_14wpi_main	Expressed_16wpi_main	log2FC_16wpi_main	Pval_16wpi_main	FDR_16wpi_main	Expressed_18wpi_main	log2FC_18wpi_main	Pval_18wpi_main	FDR_18wpi_main	Expressed_20wpi_main	log2FC_20wpi_main	Pval_20wpi_main	FDR_20wpi_main	Expressed_term_main	log2FC_term_main	Pval_term_main	FDR_term_main	Expressed_8wpi_val	log2FC_8wpi_val	Pval_8wpi_val	FDR_8wpi_val	Expressed_term_val	log2FC_term_val	Pval_term_val	FDR_term_val	Expressed_8wpi_ko	log2FC_8wpi_ko	Pval_8wpi_ko	FDR_8wpi_ko	Expressed_8wpi_ip	log2FC_8wpi_ip	Pval_8wpi_ip	FDR_8wpi_ip	Expressed_term_ip	log2FC_term_ip	Pval_term_ip	FDR_term_ip	Expressed_8wpi_old	log2FC_8wpi_old	Pval_8wpi_old	FDR_8wpi_old	Expressed_term_young	log2FC_term_young	Pval_term_young	FDR_term_young	Expressed_term_old	log2FC_term_old	Pval_term_old	FDR_term_old	Expressed_8wpi_saline	log2FC_8wpi_saline	Pval_8wpi_saline	FDR_8wpi_saline	Expressed_8wpi_plasma	log2FC_8wpi_plasma	Pval_8wpi_plasma	FDR_8wpi_plasma	Expressed_term_saline	log2FC_term_saline	Pval_term_saline	FDR_term_saline	Expressed_term_plasma	log2FC_term_plasma	Pval_term_plasma	FDR_term_plasma
0610005C13Rik	_NE	NA	FALSE	0.1696	0.8876	NA	FALSE	0.1451	0.9097	NA	FALSE	3.373	0.04376	NA	FALSE	-1.285	0.303	NA	FALSE	1.686	0.1635	NA	FALSE	0	1	NA	FALSE	0.7822	0.6137	NA	FALSE	1.198	0.3785	NA	FALSE	-0.4767	0.4045	NA	FALSE	0.0667	0.9008	NA	FALSE	-2.663	0.1167	NA	FALSE	1.263	0.3781	NA	FALSE	0.2841	0.8588	NA	FALSE	0	1	NA	FALSE	-1.794	0.2861	NA	FALSE	-0.6439	0.6667	NA	FALSE	0.5607	0.6964	NA	FALSE	-0.8398	0.5288	NA	FALSE	0.708	0.5103	NA	FALSE	-2.49	0.02846	NA
0610007C21Rik	_NE	NA	TRUE	0.1205	0.4224	0.9959	TRUE	0.1419	0.1932	0.4244	TRUE	0.02825	0.778	0.9319	TRUE	-0.03107	0.8139	0.9609	TRUE	0.154	0.2612	0.6535	TRUE	0.06523	0.6927	0.9825	TRUE	0.1828	0.2333	0.6314	TRUE	0.4897	0.003471	0.02131	TRUE	-0.1154	0.3946	0.695	TRUE	0.3381	0.01259	0.06324	TRUE	0.02557	0.7926	1	TRUE	-0.09714	0.3217	0.9999	TRUE	0.2358	0.0153	0.05191	TRUE	-0.03104	0.7558	0.8734	TRUE	0.2978	0.02376	0.07133	TRUE	0.2626	0.01997	0.05192	TRUE	0.01496	0.8437	0.9264	TRUE	0.1094	0.1378	1	TRUE	0.2565	0.01163	0.05787	TRUE	0.3747	0.01819	0.06252
0610007L01Rik	_NE	NA	TRUE	0.04896	0.7403	0.9959	TRUE	-0.01189	0.9114	0.9617	TRUE	-0.02802	0.7686	0.9281	TRUE	0.02867	0.8244	0.9626	TRUE	0.07804	0.5668	0.8412	TRUE	-0.04548	0.7878	0.9896	TRUE	-0.09968	0.4985	0.8163	TRUE	0.08986	0.5841	0.785	TRUE	0.01788	0.8732	0.9531	TRUE	0.02384	0.8551	0.9313	TRUE	0.056	0.584	1	TRUE	-0.07082	0.4799	0.9999	TRUE	-0.04605	0.6322	0.7797	TRUE	0.07202	0.4553	0.6585	TRUE	-0.01836	0.8758	0.9275	TRUE	0.01358	0.906	0.9443	TRUE	0.08887	0.2567	0.4903	TRUE	-0.03243	0.633	1	TRUE	0.004219	0.9663	0.9839	TRUE	0.07627	0.6459	0.7844
0610007N19Rik	_NE	1	TRUE	0.3217	0.402	0.9959	TRUE	-0.03875	0.9021	0.9563	TRUE	-0.4828	0.1162	0.4837	TRUE	-0.7257	0.04455	0.5111	TRUE	-0.1382	0.6993	0.895	TRUE	0.8406	0.03976	0.4929	TRUE	0.1634	0.6914	0.9062	TRUE	1.064	0.006495	0.03512	TRUE	0.2319	0.4977	0.7662	TRUE	0.3658	0.2832	0.5267	TRUE	0.08934	0.7997	1	TRUE	-0.1103	0.7016	0.9999	TRUE	0.5368	0.1259	0.2632	TRUE	-0.007228	0.9804	0.9916	TRUE	0.6538	0.03701	0.101	TRUE	0.7975	0.003679	0.01226	TRUE	0.09226	0.6744	0.8285	TRUE	-0.152	0.4382	1	TRUE	0.7251	0.01159	0.05774	TRUE	0.7243	0.006937	0.02915
0610007P08Rik	_NE	NA	TRUE	-0.2735	0.1302	0.9959	TRUE	0.2222	0.1075	0.3046	TRUE	-0.129	0.305	0.6927	TRUE	-0.3732	0.05557	0.5381	TRUE	0.04704	0.7875	0.9304	TRUE	0.1049	0.677	0.9825	TRUE	-0.1628	0.462	0.7971	TRUE	-0.04801	0.8764	0.9467	TRUE	0.1588	0.2558	0.5745	TRUE	0.0202	0.9117	0.9602	TRUE	0.03669	0.7789	1	TRUE	0.1568	0.2486	0.9999	TRUE	0.04532	0.6863	0.8176	TRUE	0.02016	0.8661	0.9369	TRUE	0.06943	0.6328	0.7701	TRUE	0.03079	0.8365	0.8987	TRUE	0.1837	0.04515	0.1821	TRUE	0.1632	0.05839	1	TRUE	-0.1094	0.3461	0.5783	TRUE	-0.1284	0.464	0.6411
0610007P14Rik	_NE	NA	TRUE	-0.1157	0.46	0.9959	TRUE	0.1253	0.2941	0.5365	TRUE	0.09143	0.4061	0.7622	TRUE	0.1576	0.2664	0.742	TRUE	0.1868	0.1877	0.5884	TRUE	-0.09261	0.6148	0.9825	TRUE	0.05768	0.7367	0.9235	TRUE	-0.107	0.549	0.7608	TRUE	-0.113	0.423	0.7132	TRUE	-0.1444	0.3017	0.546	TRUE	0.1764	0.127	1	TRUE	-0.03832	0.7244	0.9999	TRUE	-0.1634	0.1511	0.3007	TRUE	0.05378	0.6496	0.8057	TRUE	-0.1698	0.179	0.3305	TRUE	-0.0849	0.4937	0.6351	TRUE	0.1094	0.17	0.3931	TRUE	0.04734	0.5202	1	TRUE	-0.1706	0.1225	0.306	TRUE	-0.2961	0.03621	0.1058
0610007P22Rik	_NE	NA	TRUE	0.2027	0.2945	0.9959	TRUE	-0.2179	0.1672	0.3912	TRUE	0.2566	0.0966	0.4498	TRUE	0.1129	0.5442	0.8732	TRUE	-0.05398	0.7611	0.9214	TRUE	-0.1564	0.5268	0.9765	TRUE	0.2625	0.1657	0.5536	TRUE	0.1342	0.5389	0.7528	TRUE	-0.3162	0.06329	0.2918	TRUE	-0.0489	0.7954	0.9002	TRUE	0.01122	0.934	1	TRUE	-0.1374	0.3571	0.9999	TRUE	-0.09803	0.4515	0.636	TRUE	-0.5344	0.0001437	0.001995	TRUE	0.1315	0.4366	0.6088	TRUE	-0.03538	0.8172	0.8854	TRUE	-0.2053	0.09016	0.2747	TRUE	0.03062	0.7354	1	TRUE	0.05964	0.6417	0.8111	TRUE	0.1353	0.4576	0.6358
0610008F07Rik	_NE	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	0	1	NA	FALSE	1.458e-15	1	NA	FALSE	-1.972	0.1309	NA	FALSE	1.65e-15	1	NA	FALSE	-1.23e-16	1	NA
0610009B14Rik	_NE	NA	FALSE	-0.811	0.6099	NA	FALSE	0	1	NA	FALSE	-2.587	0.1407	NA	FALSE	0.744	0.6365	NA	FALSE	-0.1565	0.9177	NA	FALSE	-2.674	0.12	NA	FALSE	-4.099	0.01471	NA	FALSE	0	1	NA	FALSE	1.774	0.2773	NA	FALSE	0	1	NA	FALSE	-1.865	0.2589	NA	FALSE	-0.03864	0.9768	NA	FALSE	-2.504	0.149	NA	FALSE	0	1	NA	FALSE	1.978	0.2228	NA	FALSE	-2.575	0.1311	NA	FALSE	0.2904	0.7942	NA	FALSE	-0.2258	0.8836	NA	FALSE	1.155	0.3793	NA	FALSE	-0.0543	0.9617	NA
0610009B22Rik	_NE	NA	TRUE	0.05038	0.8203	0.9983	TRUE	0.09083	0.5732	0.7634	TRUE	0.0115	0.9475	0.9868	TRUE	0.1082	0.5915	0.8916	TRUE	0.3673	0.06089	0.3969	TRUE	0.1525	0.5205	0.9764	TRUE	-0.1177	0.5931	0.8587	TRUE	0.01869	0.9369	0.9735	TRUE	0.1019	0.5533	0.7985	TRUE	-0.01034	0.96	0.9837	TRUE	-0.003881	0.9811	1	TRUE	0.1243	0.4669	0.9999	TRUE	-0.00079	0.9963	0.9985	TRUE	0.04669	0.7675	0.8797	TRUE	-0.146	0.461	0.6313	TRUE	0.01524	0.9225	0.9541	TRUE	0.0806	0.5329	0.733	TRUE	-0.08198	0.4977	1	TRUE	0.07621	0.6433	0.8125	TRUE	-0.1085	0.5605	0.7195
