treatment	stain	dosed_dpi	region	animal	score	necrosis	autolytic
PBS	GFAP	123	Fiber tracts	1	2	0	0
PBS	GFAP	123	Fiber tracts	2	2	0	0
PBS	GFAP	123	Fiber tracts	3	2	0	0
PBS	GFAP	123	Fiber tracts	4	2	0	0
PBS	GFAP	90	Fiber tracts	1	2	0	0
PBS	GFAP	90	Fiber tracts	2	2	0	0
PBS	GFAP	90	Fiber tracts	3	1	0	0
PBS	GFAP	90	Fiber tracts	4	NA	NA	NA
PBS	GFAP	60	Fiber tracts	1	1	0	0
PBS	GFAP	60	Fiber tracts	2	2	0	0
PBS	GFAP	60	Fiber tracts	3	2	0	0
PBS	GFAP	60	Fiber tracts	4	NA	NA	NA
PBS	GFAP	30	Fiber tracts	1	2	0	0
PBS	GFAP	30	Fiber tracts	2	2	0	0
PBS	GFAP	30	Fiber tracts	3	2	0	0
PBS	GFAP	30	Fiber tracts	4	2	0	0
PBS	GFAP	-14	Fiber tracts	1	1	0	0
PBS	GFAP	-14	Fiber tracts	2	2	0	0
PBS	GFAP	-14	Fiber tracts	3	2	0	0
PBS	GFAP	-14	Fiber tracts	4	2	0	0
PBS	GFAP	123	Cortex	1	1	0	0
PBS	GFAP	123	Cortex	2	1	0	0
PBS	GFAP	123	Cortex	3	1	0	0
PBS	GFAP	123	Cortex	4	2	0	0
PBS	GFAP	90	Cortex	1	1	0	0
PBS	GFAP	90	Cortex	2	1	0	0
PBS	GFAP	90	Cortex	3	1	0	0
PBS	GFAP	90	Cortex	4	NA	NA	NA
PBS	GFAP	60	Cortex	1	1	0	0
PBS	GFAP	60	Cortex	2	1	0	0
PBS	GFAP	60	Cortex	3	2	0	0
PBS	GFAP	60	Cortex	4	NA	NA	NA
PBS	GFAP	30	Cortex	1	1	0	0
PBS	GFAP	30	Cortex	2	1	0	0
PBS	GFAP	30	Cortex	3	1	0	0
PBS	GFAP	30	Cortex	4	1	0	0
PBS	GFAP	-14	Cortex	1	1	0	0
PBS	GFAP	-14	Cortex	2	1	0	0
PBS	GFAP	-14	Cortex	3	1	0	0
PBS	GFAP	-14	Cortex	4	1	0	0
PBS	GFAP	123	Hippocampus	1	2	0	0
PBS	GFAP	123	Hippocampus	2	1	0	0
PBS	GFAP	123	Hippocampus	3	2	0	0
PBS	GFAP	123	Hippocampus	4	2	0	0
PBS	GFAP	90	Hippocampus	1	2	0	0
PBS	GFAP	90	Hippocampus	2	2	0	0
PBS	GFAP	90	Hippocampus	3	2	0	0
PBS	GFAP	90	Hippocampus	4	NA	NA	NA
PBS	GFAP	60	Hippocampus	1	2	0	0
PBS	GFAP	60	Hippocampus	2	2	0	0
PBS	GFAP	60	Hippocampus	3	2	0	0
PBS	GFAP	60	Hippocampus	4	NA	NA	NA
PBS	GFAP	30	Hippocampus	1	2	0	0
PBS	GFAP	30	Hippocampus	2	2	0	0
PBS	GFAP	30	Hippocampus	3	2	0	0
PBS	GFAP	30	Hippocampus	4	2	0	0
PBS	GFAP	-14	Hippocampus	1	2	0	0
PBS	GFAP	-14	Hippocampus	2	2	0	0
PBS	GFAP	-14	Hippocampus	3	2	0	0
PBS	GFAP	-14	Hippocampus	4	2	0	0
PBS	GFAP	123	CP	1	1	0	0
PBS	GFAP	123	CP	2	1	0	0
PBS	GFAP	123	CP	3	1	0	0
PBS	GFAP	123	CP	4	1	0	0
PBS	GFAP	90	CP	1	1	0	0
PBS	GFAP	90	CP	2	1	0	0
PBS	GFAP	90	CP	3	1	0	0
PBS	GFAP	90	CP	4	NA	NA	NA
PBS	GFAP	60	CP	1	0	0	0
PBS	GFAP	60	CP	2	1	0	0
PBS	GFAP	60	CP	3	1	0	0
PBS	GFAP	60	CP	4	NA	NA	NA
PBS	GFAP	30	CP	1	1	0	0
PBS	GFAP	30	CP	2	1	0	0
PBS	GFAP	30	CP	3	1	0	0
PBS	GFAP	30	CP	4	1	0	0
PBS	GFAP	-14	CP	1	1	0	0
PBS	GFAP	-14	CP	2	1	0	0
PBS	GFAP	-14	CP	3	1	0	0
PBS	GFAP	-14	CP	4	1	0	0
PBS	GFAP	123	Pallidum	1	1	0	0
PBS	GFAP	123	Pallidum	2	2	0	0
PBS	GFAP	123	Pallidum	3	2	0	0
PBS	GFAP	123	Pallidum	4	1	0	0
