animal	inoculation_date	dod	sex	aso
141	2025-01-27	2025-07-09	F	PBS
142	2025-01-27	2025-07-24	F	PBS
143	2025-01-27	2025-06-27	F	PBS
144	2025-01-27	2025-07-15	F	PBS
145	2025-01-27	2025-07-24	F	PBS
146	2025-01-27	2025-07-15	F	PBS
147	2025-01-27	2025-07-09	F	PBS
148	2025-01-27	2025-07-09	F	PBS
149	2025-01-27	2025-05-19	F	ASO2
150	2025-01-27	2025-05-19	F	ASO2
151	2025-01-27	2025-05-19	F	ASO2
152	2025-01-27	2025-05-19	F	ASO2
153	2025-01-27	2025-05-19	F	ASO2
154	2025-01-27	2025-05-19	F	ASO2
155	2025-01-27	2025-05-19	F	ASO2
156	2025-01-27	2025-05-19	F	ASO2
158	2025-01-28	2025-09-25	F	ASO2-OMe2
161	2025-01-28	2025-06-01	F	ASO2-MOE
162	2025-01-28	2025-07-21	F	ASO2-MOE
163	2025-01-28	2025-07-08	F	ASO2-MOE
164	2025-01-28	2025-06-06	F	ASO2-MOE
165	2025-01-28	2025-06-06	F	ASO2-MOE
166	2025-01-28	2025-06-30	F	ASO2-MOE
167	2025-01-28	2025-07-08	F	ASO2-MOE
168	2025-01-28	2025-07-08	F	ASO2-MOE
169	2025-01-28	2025-09-25	F	ASO2-OMe2
170	2025-01-28	2025-09-25	F	ASO2-OMe2
171	2025-01-28	2025-09-17	F	ASO2-OMe2
172	2025-01-28	2025-09-17	F	ASO2-OMe2
173	2025-01-28	2025-09-29	F	ASO2-OMe2
174	2025-01-28	2025-09-19	F	ASO2-OMe2
175	2025-01-28	2025-09-25	F	ASO2-OMe2
177	2025-01-29	2025-05-22	F	ASO2-MsPA2
178	2025-01-29	2025-05-21	F	ASO2-MsPA2
179	2025-01-29	2025-05-23	F	ASO2-MsPA2
183	2025-01-29	2025-05-21	F	ASO2-MsPA2
184	2025-01-29	2025-05-21	F	ASO2-MsPA2
186	2025-01-29	2025-05-25	F	ASO2-MsPA2
187	2025-01-29	2025-05-21	F	ASO2-MsPA2
188	2025-01-29	2025-05-21	F	ASO2-MsPA2
