gene	meanexp	l2fc	pval	celltype	color
0610040J01Rik	1.8172900970329455	4.3751167706308	1.1486789045343237e-19	2_microglia	#CD00CD
1700047M11Rik	5.8887936669713845	7.991014528594192	4.2870348716721525e-275	1_oligodendrocyte	#37FDFC
1810062O18Rik	1.0068784416395888	2.4634743695875825	4.01814927896038e-7	1_oligodendrocyte	#37FDFC
2610035D17Rik	2.2505602671043428	2.2640915578462963	8.27821180912876e-6	1_oligodendrocyte	#37FDFC
2610203C22Rik	1.1549888172253833	2.874369527000417	1.092235205267936e-5	2_microglia	#CD00CD
2900052L18Rik	1.2288318932203988	3.15974239385186	6.871128300042141e-14	1_oligodendrocyte	#37FDFC
4930420G21Rik	1.8867369271176384	8.709883092803363	0	1_oligodendrocyte	#37FDFC
4930444A19Rik	1.198603779554174	3.389702459757199	6.3262925627971645e-9	2_microglia	#CD00CD
4930488L21Rik	2.61420052011713	4.369285195366363	3.2388664821670334e-83	3_astrocyte	#F0A804
4930511M06Rik	2.1818793304741995	5.538028436661972	2.807295213870146e-80	1_oligodendrocyte	#37FDFC
4930581F22Rik	1.100182113103845	3.5919194905511853	1.1196648922485788e-47	3_astrocyte	#F0A804
4933406I18Rik	5.462100961274727	2.5827664044445755	2.3783298094085e-4	2_microglia	#CD00CD
5031439G07Rik	2.780914990117031	2.621782669397504	2.0592475051254876e-8	1_oligodendrocyte	#37FDFC
8030442B05Rik	1.9249813620423055	8.795327042886115	2.238683867796274e-239	2_microglia	#CD00CD
9330111N05Rik	1.3001646034656054	5.2144663762363965	6.01829684686793e-60	1_oligodendrocyte	#37FDFC
9430041J12Rik	1.451086138615348	3.451337722457859	8.197821750847153e-43	3_astrocyte	#F0A804
9630013A20Rik	2.677760996491063	4.797722066914667	5.782487794014391e-45	1_oligodendrocyte	#37FDFC
A230001M10Rik	2.5162679833337	7.984981850490331	3.963889796329574e-270	1_oligodendrocyte	#37FDFC
A330015K06Rik	3.723620510272085	2.1688107616626935	2.9643109734386776e-5	1_oligodendrocyte	#37FDFC
A330049N07Rik	2.374928449650818	8.079002671468444	3.963924662248574e-279	1_oligodendrocyte	#37FDFC
A830008E24Rik	1.212603644005391	6.499512996657712	1.598657900755765e-78	2_microglia	#CD00CD
Aatk	3.1033706617087455	3.3813429074219497	6.105616005798448e-17	1_oligodendrocyte	#37FDFC
Abat	1.1589779882737488	2.153702380846602	8.353918174175545e-13	3_astrocyte	#F0A804
Abca1	1.394850887824703	4.198055239766194	5.0863755487651306e-74	3_astrocyte	#F0A804
Abca2	1.810631024365318	3.0241942467022964	2.5252114954142266e-12	1_oligodendrocyte	#37FDFC
Abca8a	1.2049659306848275	7.414222612076323	6.77839437349687e-209	1_oligodendrocyte	#37FDFC
Abca9	2.0407494719273673	7.510593211862435	1.724911367433956e-136	2_microglia	#CD00CD
Abhd17b	4.775313926006246	2.9618446782035117	1.0962496128899934e-11	1_oligodendrocyte	#37FDFC
Abhd3	1.2060540826308912	3.257445415470692	1.5380647908387683e-36	3_astrocyte	#F0A804
Abi3	1.2131421003304377	8.949874172194672	3.8469533400252416e-223	2_microglia	#CD00CD
Abl1	1.2126560741685115	2.068915177948667	1.0291832269129e-4	1_oligodendrocyte	#37FDFC
Acot11	1.065318227324706	6.290508632157987	9.451596833477715e-230	3_astrocyte	#F0A804
Acsbg1	2.612920207927501	6.637376311346026	9.505608929835069e-269	3_astrocyte	#F0A804
Acsl3	10.39968045970044	3.9270135407463727	8.124397587683114e-62	3_astrocyte	#F0A804
Acsl6	2.6518220013816247	2.775671316684547	4.8409360907178886e-24	3_astrocyte	#F0A804
Acss1	1.5525262582552155	3.679201168996052	3.812939617183893e-51	3_astrocyte	#F0A804
Actb	10.925572471422884	2.003194587228976	2.05983360335e-4	1_oligodendrocyte	#37FDFC
Adamtsl1	1.8411264209385472	3.4137762538623635	2.688601470514143e-17	1_oligodendrocyte	#37FDFC
Adap2	2.942663816380755	7.794708780363864	1.4994530629956423e-160	2_microglia	#CD00CD
Adap2os	2.6045132442513657	7.474195630232474	5.9254074830477806e-136	2_microglia	#CD00CD
Add3	2.519063475872361	2.4956489163202784	2.4154304173323403e-18	3_astrocyte	#F0A804
Adhfe1	1.2402285695386912	5.174900586979575	3.243132574655704e-134	3_astrocyte	#F0A804
Adipor2	5.631041271587218	4.046051673572719	3.830600790495395e-29	1_oligodendrocyte	#37FDFC
Adk	5.015967702308829	2.452534407356452	1.3559953214887965e-17	3_astrocyte	#F0A804
Aff1	1.470093850353692	3.372286506524703	3.5169517350356168e-40	3_astrocyte	#F0A804
Agap1	5.574558493586367	2.940148753385304	1.9093564010730195e-11	1_oligodendrocyte	#37FDFC
Agl	1.845914720786444	3.189508091155883	1.1961150301740024e-34	3_astrocyte	#F0A804
Agmo	1.9748323097268192	5.25761299747829	1.2916299187784368e-140	3_astrocyte	#F0A804
Agpat4	3.199099689212536	2.457106875778366	4.0464628244733337e-7	1_oligodendrocyte	#37FDFC
Agpat5	2.1457047442658195	2.5641270437729524	1.2729944888549097e-19	3_astrocyte	#F0A804
