display_name	n	survival_dpi_median	survival_dpi_value	survival_dpi_meansd	survival_dpi_delta_value	survival_dpi_delta_disp	survival_dpt_value	survival_dpt_meansd	coef	exp_coef	se_coef	z	pval	label
ASO 6	10	224.5	211.1	211.1±47.2	0.31118012422360253	+31%	91.1	91.1±47.2	-3.0810436434491066	0.045911316592430966	0.8338943203227877	-3.69476511394931	2.2009014896235261e-4	tolerated
ASO E	10	168	165.5	165.5±7.7	0.02795031055900621	+3%	45.5	45.5±7.7	-0.4026249644673679	0.6685627871131706	0.45107655944708125	-0.8925867594647255	0.37207851233187755	tolerated
ASO G	10	165	162.8	162.8±5.9	0.011180124223602483	+1%	42.8	42.8±5.9	-0.017480810570411065	0.9826710923818841	0.4488447195198432	-0.03894623198221283	0.9689332567176374	tolerated
PBS	10	163	161	161.0±10.0	0	0%	41	41.0±10.0					1	PBS
ASO A	10	164.5	159.7	159.7±18.9	-0.008074534161490732	-1%	39.7	39.7±18.9	-0.4729284938412838	0.623174630408539	0.4767148565317596	-0.9920573847477239	0.3211695331928211	tolerated
ASO B	10	160	159.4	159.4±17.6	-0.009937888198757738	-1%	39.4	39.4±17.6	-0.26323114139313425	0.7685642297720074	0.4644899666285967	-0.566710069764784	0.570911178252229	tolerated
ASO H	10	147	146.9	146.9±17.6	-0.08757763975155275	-9%	26.9	26.9±17.6	0.5329018513395495	1.7038695176728937	0.4491202747145786	1.1865459685119206	0.2354067591678431	toxic
ASO F	10	131	132.1	132.1±2.3	-0.1795031055900621	-18%	12.1	12.1±2.3	2.2174957191384967	9.18430197085516	0.5275845894750323	4.203109346588371	2.632733280614571e-5	toxic
ASO D	10	128	130.8	130.8±8.9	-0.18757763975155284	-19%	10.8	10.8±8.9	2.581001691414249	13.210364242766587	0.4943827272496699	5.2206550697528895	1.7829134416812537e-7	toxic
ASO C	10	127	127	127.0±0.0	-0.21118012422360244	-21%	7	7.0±0.0	4.305248235840254	74.08760436908305	0.6535156545551067	6.587827247644333	4.463094977358828e-11	toxic
ASO I	10	127	126.4	126.4±1.0	-0.21490683229813656	-21%	6.4	6.4±1.0	4.660791306571243	105.71970576422197	0.6581849954521349	7.081278574832216	1.4283044816401793e-12	toxic
