display_name	survival_dpi	event
PBS	153	1
PBS	160	1
PBS	137	1
PBS	166	1
PBS	166	1
PBS	171	1
PBS	162	1
PBS	160	1
PBS	171	1
PBS	164	1
ASO 6	220	1
ASO 6	120	1
ASO 6	240	1
ASO 6	229	1
ASO 6	131	1
ASO 6	218	1
ASO 6	243	1
ASO 6	210	1
ASO 6	250	1
ASO 6	250	1
ASO A	186	1
ASO A	136	1
ASO A	136	1
ASO A	136	1
ASO A	184	1
ASO A	161	1
ASO A	168	1
ASO A	154	1
ASO A	168	1
ASO A	168	1
ASO B	161	1
ASO B	153	1
ASO B	153	1
ASO B	153	1
ASO B	120	1
ASO B	160	1
ASO B	160	1
ASO B	180	1
ASO B	172	1
ASO B	182	1
ASO C	127	1
ASO C	127	1
ASO C	127	1
ASO C	127	1
ASO C	127	1
ASO C	127	1
ASO C	127	1
ASO C	127	1
ASO C	127	1
ASO C	127	1
ASO D	128	1
ASO D	127	1
ASO D	127	1
ASO D	128	1
ASO D	126	1
ASO D	156	1
ASO D	130	1
ASO D	128	1
ASO D	128	1
ASO D	130	1
ASO E	167	1
ASO E	171	1
ASO E	172	1
ASO E	169	1
ASO E	170	1
ASO E	163	1
ASO E	147	1
ASO E	172	1
ASO E	165	1
ASO E	159	1
ASO F	136	1
ASO F	132	1
ASO F	130	1
ASO F	130	1
ASO F	131	1
ASO F	130	1
ASO F	135	1
ASO F	131	1
ASO F	135	1
ASO F	131	1
ASO G	172	1
ASO G	167	1
ASO G	165	1
ASO G	165	1
ASO G	167	1
ASO G	158	1
ASO G	152	1
ASO G	159	1
ASO G	158	1
ASO G	165	1
ASO H	151	1
ASO H	163	1
ASO H	169	1
ASO H	171	1
ASO H	141	1
ASO H	132	1
ASO H	123	1
ASO H	143	1
ASO H	123	1
ASO H	153	1
ASO I	127	1
ASO I	126	1
ASO I	126	1
ASO I	127	1
ASO I	126	1
ASO I	127	1
ASO I	124	1
ASO I	127	1
ASO I	127	1
ASO I	127	1
