display_name	label	ka	kd_nm
ASO 1	tolerated	75000000	13.333333333333334
ASO 2	toxic	55900000	17.88908765652952
ASO 3	toxic	112000000	8.928571428571429
ASO 6	tolerated	167000000	5.9880239520958085
ASO 6	tolerated	113000000	8.849557522123893
ASO 8	toxic	28400000	35.2112676056338
ASO 8	toxic	32900000	30.3951367781155
ASO 7	toxic	182000000	5.4945054945054945
ASO 7	toxic	529000000	1.890359168241966
ASO 4	tolerated	99000000	10.1010101010101
ASO 4	tolerated	68500000	14.598540145985401
ASO 1	tolerated	60500000	16.52892561983471
ASO 2	toxic	40300000	24.81389578163772
ASO 3	toxic	69900000	14.30615164520744
ASO 6	tolerated	184000000	5.434782608695652
ASO 8	toxic	31000000	32.25806451612903
ASO 7	toxic	191000000	5.2356020942408374
ASO 4	tolerated	138000000	7.246376811594203
ASO 3	toxic	33200000	30.120481927710845
ASO 2	toxic	23600000	42.3728813559322
ASO 1	tolerated	48100000	20.79002079002079
