display_name	plot_dpi	n	mean	l95	u95	prop_change_119_to_127
ASO A	119	6	767.1666666666666	552.663007082057	981.6703262512763	
ASO A	127	6	918.8333333333334	639.6009774264157	1198.065689240251	0.19769715402998056
ASO D	119	5	1019.2	599.2046413996861	1439.195358600314	
ASO D	127	3	979	432.0752195687144	1525.9247804312856	-0.03944270015698592
ASO E	119	5	801.8	661.2863011693364	942.3136988306635	
ASO E	127	5	881.6	830.8123446126593	932.3876553873407	0.09952606635071093
ASO F	119	5	1076.4	907.5168284059812	1245.283171594019	
ASO F	127	5	1140.2	1029.3027505890116	1251.0972494109885	0.05927164622816794
PBS	119	10	874.1836	632.841601411631	1115.525598588369	
PBS	127	10	1326.0324	1100.5804635528302	1551.4843364471699	0.5168808932128217
