display_name	label	brain_aso_ug_g
ASO F	toxic	4.73
ASO A	tolerated	4.75
ASO C	toxic	5.58
ASO D	toxic	6.64
ASO B	tolerated	1.92
ASO G	tolerated	6.79
ASO E	tolerated	2.7
ASO I	toxic	1.46
ASO 5	toxic	10.66
ASO 6	tolerated	13.36
ASO 2	toxic	6.51
ASO 3	toxic	4.8
ASO 1	tolerated	4.31
ASO 7	toxic	0
ASO 8	toxic	0.1
ASO 4	tolerated	7.13
ASO F	toxic	5.56
ASO A	tolerated	12.84
ASO C	toxic	3.34
ASO D	toxic	6.9
ASO B	tolerated	2.11
ASO G	tolerated	0.95
ASO E	tolerated	1.85
ASO I	toxic	1.35
ASO 5	toxic	7.79
ASO 6	tolerated	10.66
ASO 2	toxic	5.56
ASO 3	toxic	3.4
ASO 1	tolerated	3.92
ASO 7	toxic	6.09
ASO 8	toxic	0.1
ASO 4	tolerated	4.92
ASO F	toxic	3.28
ASO A	tolerated	3.33
ASO C	toxic	3.31
ASO D	toxic	8.51
ASO B	tolerated	2.81
ASO G	tolerated	1.4
ASO E	tolerated	1.15
ASO I	toxic	3.88
ASO 5	toxic	7.47
ASO 6	tolerated	5.18
ASO 2	toxic	6.27
ASO 3	toxic	7.2
ASO 1	tolerated	3.64
ASO 7	toxic	0
ASO 8	toxic	0.1
ASO 4	tolerated	8.1
ASO F	toxic	3.78
ASO A	tolerated	4.01
ASO C	toxic	2.98
ASO D	toxic	14.49
ASO B	tolerated	2
ASO G	tolerated	2.13
ASO E	tolerated	1.33
ASO I	toxic	3.78
ASO 5	toxic	7.42
ASO 6	tolerated	23.8
ASO 2	toxic	3.47
ASO 3	toxic	2.87
ASO 1	tolerated	2.98
ASO 7	toxic	0
ASO 8	toxic	0.1
ASO 4	tolerated	4.81
