treatment	stain	dosed_dpi	harvest_dpi	animal	mean_ihc_score
ASO 1	ASO	-14	150	1	0.23076923076923078
ASO 1	ASO	-14	150	2	0.3076923076923077
ASO 1	ASO	-14	150	3	0.15384615384615385
ASO 1	ASO	-14	150	4	0.15384615384615385
ASO 1	ASO	30	150	1	0.23076923076923078
ASO 1	ASO	30	150	2	0.3076923076923077
ASO 1	ASO	30	150	3	0.23076923076923078
ASO 1	ASO	30	150	4	0.23076923076923078
ASO 1	ASO	60	150	1	0.3076923076923077
ASO 1	ASO	60	150	2	0.3076923076923077
ASO 1	ASO	60	150	3	0.3076923076923077
ASO 1	ASO	60	150	4	0.3076923076923077
ASO 1	ASO	90	150	1	0.3076923076923077
ASO 1	ASO	90	150	2	0.38461538461538464
ASO 1	ASO	90	150	3	0.3076923076923077
ASO 1	ASO	90	150	4	0.38461538461538464
ASO 1	ASO	123	150	1	2.1538461538461537
ASO 1	ASO	123	150	2	1.8333333333333333
ASO 1	ASO	123	150	3	2.3846153846153846
ASO 1	ASO	123	150	4	1.7272727272727273
ASO 1	GFAP	-14	150	1	0.9166666666666666
ASO 1	GFAP	-14	150	2	0.75
ASO 1	GFAP	-14	150	3	0.5
ASO 1	GFAP	-14	150	4	0.5
ASO 1	GFAP	30	150	1	1
ASO 1	GFAP	30	150	2	0.6363636363636364
ASO 1	GFAP	30	150	3	1.3333333333333333
ASO 1	GFAP	30	150	4	0.9166666666666666
ASO 1	GFAP	60	150	1	0.5
ASO 1	GFAP	60	150	2	0.75
ASO 1	GFAP	60	150	3	0.6666666666666666
ASO 1	GFAP	60	150	4	0.8333333333333334
ASO 1	GFAP	90	150	1	0.5833333333333334
ASO 1	GFAP	90	150	2	0.6666666666666666
ASO 1	GFAP	90	150	3	1.0833333333333333
ASO 1	GFAP	90	150	4	0.8333333333333334
ASO 1	GFAP	123	150	1	0.75
ASO 1	GFAP	123	150	2	1.8181818181818181
ASO 1	GFAP	123	150	3	1.8333333333333333
ASO 1	GFAP	123	150	4	1.4545454545454546
ASO 1	Iba1	-14	150	1	0.6666666666666666
ASO 1	Iba1	-14	150	2	0.5833333333333334
ASO 1	Iba1	-14	150	3	0.08333333333333333
ASO 1	Iba1	-14	150	4	0.5833333333333334
