dataset	display_name	readout	value
Mouse 500 µg 1x 1wk	PBS	Cortex Aif1 qPCR	0.854
Mouse 500 µg 1x 1wk	ASO F	Cortex Aif1 qPCR	1.21
Mouse 500 µg 1x 1wk	ASO A	Cortex Aif1 qPCR	1.018
Mouse 500 µg 1x 1wk	ASO C	Cortex Aif1 qPCR	1.023
Mouse 500 µg 1x 1wk	ASO D	Cortex Aif1 qPCR	1.045
Mouse 500 µg 1x 1wk	ASO B	Cortex Aif1 qPCR	1.076
Mouse 500 µg 1x 1wk	ASO G	Cortex Aif1 qPCR	1.18
Mouse 500 µg 1x 1wk	ASO E	Cortex Aif1 qPCR	1.134
Mouse 500 µg 1x 1wk	ASO I	Cortex Aif1 qPCR	1.206
Mouse 500 µg 1x 1wk	ASO 5	Cortex Aif1 qPCR	1.16
Mouse 500 µg 1x 1wk	ASO 6	Cortex Aif1 qPCR	1.13
Mouse 500 µg 1x 1wk	ASO 2	Cortex Aif1 qPCR	0.963
Mouse 500 µg 1x 1wk	ASO 3	Cortex Aif1 qPCR	1.119
Mouse 500 µg 1x 1wk	ASO 1	Cortex Aif1 qPCR	1.098
Mouse 500 µg 1x 1wk	ASO 7	Cortex Aif1 qPCR	0.993
Mouse 500 µg 1x 1wk	ASO 8	Cortex Aif1 qPCR	1.134
Mouse 500 µg 1x 1wk	ASO 4	Cortex Aif1 qPCR	0.991
Mouse 500 µg 1x 1wk	PBS	Cortex Aif1 qPCR	1.039
Mouse 500 µg 1x 1wk	ASO F	Cortex Aif1 qPCR	1.156
Mouse 500 µg 1x 1wk	ASO A	Cortex Aif1 qPCR	1.081
Mouse 500 µg 1x 1wk	ASO C	Cortex Aif1 qPCR	1.085
Mouse 500 µg 1x 1wk	ASO D	Cortex Aif1 qPCR	0.991
Mouse 500 µg 1x 1wk	ASO B	Cortex Aif1 qPCR	0.969
Mouse 500 µg 1x 1wk	ASO G	Cortex Aif1 qPCR	1.052
Mouse 500 µg 1x 1wk	ASO E	Cortex Aif1 qPCR	1.093
Mouse 500 µg 1x 1wk	ASO I	Cortex Aif1 qPCR	1.039
Mouse 500 µg 1x 1wk	ASO 5	Cortex Aif1 qPCR	1.012
Mouse 500 µg 1x 1wk	ASO 6	Cortex Aif1 qPCR	1.23
Mouse 500 µg 1x 1wk	ASO 2	Cortex Aif1 qPCR	1.106
Mouse 500 µg 1x 1wk	ASO 3	Cortex Aif1 qPCR	1.242
Mouse 500 µg 1x 1wk	ASO 1	Cortex Aif1 qPCR	1.127
Mouse 500 µg 1x 1wk	ASO 7	Cortex Aif1 qPCR	1.065
Mouse 500 µg 1x 1wk	ASO 8	Cortex Aif1 qPCR	1.017
Mouse 500 µg 1x 1wk	ASO 4	Cortex Aif1 qPCR	1.053
Mouse 500 µg 1x 1wk	PBS	Cortex Aif1 qPCR	1.024
Mouse 500 µg 1x 1wk	ASO F	Cortex Aif1 qPCR	1.087
Mouse 500 µg 1x 1wk	ASO A	Cortex Aif1 qPCR	1.064
Mouse 500 µg 1x 1wk	ASO C	Cortex Aif1 qPCR	0.973
Mouse 500 µg 1x 1wk	ASO D	Cortex Aif1 qPCR	1.126
Mouse 500 µg 1x 1wk	ASO B	Cortex Aif1 qPCR	1.148
Mouse 500 µg 1x 1wk	ASO G	Cortex Aif1 qPCR	1.125
Mouse 500 µg 1x 1wk	ASO E	Cortex Aif1 qPCR	1.129
Mouse 500 µg 1x 1wk	ASO I	Cortex Aif1 qPCR	1.068
Mouse 500 µg 1x 1wk	ASO 5	Cortex Aif1 qPCR	1.16
Mouse 500 µg 1x 1wk	ASO 6	Cortex Aif1 qPCR	0.983
Mouse 500 µg 1x 1wk	ASO 2	Cortex Aif1 qPCR	1.228
Mouse 500 µg 1x 1wk	ASO 3	Cortex Aif1 qPCR	0.957
Mouse 500 µg 1x 1wk	ASO 1	Cortex Aif1 qPCR	1.148
Mouse 500 µg 1x 1wk	ASO 7	Cortex Aif1 qPCR	1.083
Mouse 500 µg 1x 1wk	ASO 8	Cortex Aif1 qPCR	0.974
Mouse 500 µg 1x 1wk	ASO 4	Cortex Aif1 qPCR	1.083
Mouse 500 µg 1x 1wk	PBS	Cortex Aif1 qPCR	1.083
Mouse 500 µg 1x 1wk	ASO F	Cortex Aif1 qPCR	1.171
Mouse 500 µg 1x 1wk	ASO A	Cortex Aif1 qPCR	1.085
Mouse 500 µg 1x 1wk	ASO C	Cortex Aif1 qPCR	0.913
Mouse 500 µg 1x 1wk	ASO D	Cortex Aif1 qPCR	1.064
Mouse 500 µg 1x 1wk	ASO B	Cortex Aif1 qPCR	1.06
Mouse 500 µg 1x 1wk	ASO G	Cortex Aif1 qPCR	0.956
Mouse 500 µg 1x 1wk	ASO E	Cortex Aif1 qPCR	1.118
Mouse 500 µg 1x 1wk	ASO I	Cortex Aif1 qPCR	1.046
Mouse 500 µg 1x 1wk	ASO 5	Cortex Aif1 qPCR	0.873
Mouse 500 µg 1x 1wk	ASO 6	Cortex Aif1 qPCR	1.027
Mouse 500 µg 1x 1wk	ASO 2	Cortex Aif1 qPCR	0.981
Mouse 500 µg 1x 1wk	ASO 3	Cortex Aif1 qPCR	1.078
Mouse 500 µg 1x 1wk	ASO 1	Cortex Aif1 qPCR	1.14
Mouse 500 µg 1x 1wk	ASO 7	Cortex Aif1 qPCR	1.244
Mouse 500 µg 1x 1wk	ASO 8	Cortex Aif1 qPCR	1.039
Mouse 500 µg 1x 1wk	ASO 4	Cortex Aif1 qPCR	1.091
Mouse 500 µg 1x 1wk	PBS	Cortex Gfap qPCR	1.009
Mouse 500 µg 1x 1wk	ASO F	Cortex Gfap qPCR	1.463
Mouse 500 µg 1x 1wk	ASO A	Cortex Gfap qPCR	1.224
Mouse 500 µg 1x 1wk	ASO C	Cortex Gfap qPCR	1.473
Mouse 500 µg 1x 1wk	ASO D	Cortex Gfap qPCR	1.25
Mouse 500 µg 1x 1wk	ASO B	Cortex Gfap qPCR	1.054
Mouse 500 µg 1x 1wk	ASO G	Cortex Gfap qPCR	1.414
Mouse 500 µg 1x 1wk	ASO E	Cortex Gfap qPCR	1.353
Mouse 500 µg 1x 1wk	ASO I	Cortex Gfap qPCR	1.138
Mouse 500 µg 1x 1wk	ASO 5	Cortex Gfap qPCR	1.286
Mouse 500 µg 1x 1wk	ASO 6	Cortex Gfap qPCR	2.124
Mouse 500 µg 1x 1wk	ASO 2	Cortex Gfap qPCR	1.243
Mouse 500 µg 1x 1wk	ASO 3	Cortex Gfap qPCR	1.413
Mouse 500 µg 1x 1wk	ASO 1	Cortex Gfap qPCR	1.156
Mouse 500 µg 1x 1wk	ASO 7	Cortex Gfap qPCR	1.027
Mouse 500 µg 1x 1wk	ASO 8	Cortex Gfap qPCR	1.268
Mouse 500 µg 1x 1wk	ASO 4	Cortex Gfap qPCR	1.19
Mouse 500 µg 1x 1wk	PBS	Cortex Gfap qPCR	1.052
Mouse 500 µg 1x 1wk	ASO F	Cortex Gfap qPCR	1.154
Mouse 500 µg 1x 1wk	ASO A	Cortex Gfap qPCR	1.06
Mouse 500 µg 1x 1wk	ASO C	Cortex Gfap qPCR	1.145
Mouse 500 µg 1x 1wk	ASO D	Cortex Gfap qPCR	1.06
Mouse 500 µg 1x 1wk	ASO B	Cortex Gfap qPCR	0.984
Mouse 500 µg 1x 1wk	ASO G	Cortex Gfap qPCR	1.317
Mouse 500 µg 1x 1wk	ASO E	Cortex Gfap qPCR	1.08
Mouse 500 µg 1x 1wk	ASO I	Cortex Gfap qPCR	0.976
Mouse 500 µg 1x 1wk	ASO 5	Cortex Gfap qPCR	1.335
Mouse 500 µg 1x 1wk	ASO 6	Cortex Gfap qPCR	2.025
Mouse 500 µg 1x 1wk	ASO 2	Cortex Gfap qPCR	1.268
Mouse 500 µg 1x 1wk	ASO 3	Cortex Gfap qPCR	1.617
Mouse 500 µg 1x 1wk	ASO 1	Cortex Gfap qPCR	1.095
Mouse 500 µg 1x 1wk	ASO 7	Cortex Gfap qPCR	1.038
Mouse 500 µg 1x 1wk	ASO 8	Cortex Gfap qPCR	1.146
Mouse 500 µg 1x 1wk	ASO 4	Cortex Gfap qPCR	1.193
Mouse 500 µg 1x 1wk	PBS	Cortex Gfap qPCR	0.968
Mouse 500 µg 1x 1wk	ASO F	Cortex Gfap qPCR	1.043
Mouse 500 µg 1x 1wk	ASO A	Cortex Gfap qPCR	1.073
Mouse 500 µg 1x 1wk	ASO C	Cortex Gfap qPCR	1.096
Mouse 500 µg 1x 1wk	ASO D	Cortex Gfap qPCR	1.246
Mouse 500 µg 1x 1wk	ASO B	Cortex Gfap qPCR	1.085
Mouse 500 µg 1x 1wk	ASO G	Cortex Gfap qPCR	0.939
Mouse 500 µg 1x 1wk	ASO E	Cortex Gfap qPCR	1.016
Mouse 500 µg 1x 1wk	ASO I	Cortex Gfap qPCR	0.998
Mouse 500 µg 1x 1wk	ASO 5	Cortex Gfap qPCR	1.147
Mouse 500 µg 1x 1wk	ASO 6	Cortex Gfap qPCR	0.966
Mouse 500 µg 1x 1wk	ASO 2	Cortex Gfap qPCR	1.806
Mouse 500 µg 1x 1wk	ASO 3	Cortex Gfap qPCR	1.057
Mouse 500 µg 1x 1wk	ASO 1	Cortex Gfap qPCR	1.388
Mouse 500 µg 1x 1wk	ASO 7	Cortex Gfap qPCR	1.074
Mouse 500 µg 1x 1wk	ASO 8	Cortex Gfap qPCR	1.361
Mouse 500 µg 1x 1wk	ASO 4	Cortex Gfap qPCR	1.159
Mouse 500 µg 1x 1wk	PBS	Cortex Gfap qPCR	0.971
Mouse 500 µg 1x 1wk	ASO F	Cortex Gfap qPCR	1.353
Mouse 500 µg 1x 1wk	ASO A	Cortex Gfap qPCR	1.107
Mouse 500 µg 1x 1wk	ASO C	Cortex Gfap qPCR	1.11
Mouse 500 µg 1x 1wk	ASO D	Cortex Gfap qPCR	1.041
Mouse 500 µg 1x 1wk	ASO B	Cortex Gfap qPCR	1
Mouse 500 µg 1x 1wk	ASO G	Cortex Gfap qPCR	1.105
Mouse 500 µg 1x 1wk	ASO E	Cortex Gfap qPCR	1.212
Mouse 500 µg 1x 1wk	ASO I	Cortex Gfap qPCR	1.258
Mouse 500 µg 1x 1wk	ASO 5	Cortex Gfap qPCR	0.984
Mouse 500 µg 1x 1wk	ASO 6	Cortex Gfap qPCR	1.207
Mouse 500 µg 1x 1wk	ASO 2	Cortex Gfap qPCR	1.17
Mouse 500 µg 1x 1wk	ASO 3	Cortex Gfap qPCR	1.06
Mouse 500 µg 1x 1wk	ASO 1	Cortex Gfap qPCR	1.416
Mouse 500 µg 1x 1wk	ASO 7	Cortex Gfap qPCR	1.251
Mouse 500 µg 1x 1wk	ASO 8	Cortex Gfap qPCR	1.3
Mouse 500 µg 1x 1wk	ASO 4	Cortex Gfap qPCR	1.028
Mouse 500 µg 1x 1wk	PBS	Cortex Cd68 qPCR	0.8810588761
Mouse 500 µg 1x 1wk	ASO F	Cortex Cd68 qPCR	1.425709267
Mouse 500 µg 1x 1wk	ASO A	Cortex Cd68 qPCR	1.442355407
Mouse 500 µg 1x 1wk	ASO C	Cortex Cd68 qPCR	1.418422494
Mouse 500 µg 1x 1wk	ASO D	Cortex Cd68 qPCR	1.16468158
Mouse 500 µg 1x 1wk	ASO B	Cortex Cd68 qPCR	1.123753023
Mouse 500 µg 1x 1wk	ASO G	Cortex Cd68 qPCR	1.516295173
Mouse 500 µg 1x 1wk	ASO E	Cortex Cd68 qPCR	1.323232317
Mouse 500 µg 1x 1wk	ASO I	Cortex Cd68 qPCR	1.429229743
Mouse 500 µg 1x 1wk	ASO 5	Cortex Cd68 qPCR	1.623442538
Mouse 500 µg 1x 1wk	ASO 6	Cortex Cd68 qPCR	1.856175812
Mouse 500 µg 1x 1wk	ASO 2	Cortex Cd68 qPCR	1.448058707
Mouse 500 µg 1x 1wk	ASO 3	Cortex Cd68 qPCR	1.516891956
Mouse 500 µg 1x 1wk	ASO 1	Cortex Cd68 qPCR	1.297913982
Mouse 500 µg 1x 1wk	ASO 7	Cortex Cd68 qPCR	1.268952601
Mouse 500 µg 1x 1wk	ASO 8	Cortex Cd68 qPCR	1.417234016
Mouse 500 µg 1x 1wk	ASO 4	Cortex Cd68 qPCR	1.161873856
Mouse 500 µg 1x 1wk	PBS	Cortex Cd68 qPCR	1.016441126
Mouse 500 µg 1x 1wk	ASO F	Cortex Cd68 qPCR	1.409907165
Mouse 500 µg 1x 1wk	ASO A	Cortex Cd68 qPCR	1.390467555
Mouse 500 µg 1x 1wk	ASO C	Cortex Cd68 qPCR	1.32977267
Mouse 500 µg 1x 1wk	ASO D	Cortex Cd68 qPCR	1.068348207
Mouse 500 µg 1x 1wk	ASO B	Cortex Cd68 qPCR	1.058655403
Mouse 500 µg 1x 1wk	ASO G	Cortex Cd68 qPCR	1.243518388
Mouse 500 µg 1x 1wk	ASO E	Cortex Cd68 qPCR	1.204593386
Mouse 500 µg 1x 1wk	ASO I	Cortex Cd68 qPCR	1.181803933
Mouse 500 µg 1x 1wk	ASO 5	Cortex Cd68 qPCR	1.497684246
Mouse 500 µg 1x 1wk	ASO 6	Cortex Cd68 qPCR	1.768443831
Mouse 500 µg 1x 1wk	ASO 2	Cortex Cd68 qPCR	1.604231389
Mouse 500 µg 1x 1wk	ASO 3	Cortex Cd68 qPCR	1.596466684
Mouse 500 µg 1x 1wk	ASO 1	Cortex Cd68 qPCR	1.340903504
Mouse 500 µg 1x 1wk	ASO 7	Cortex Cd68 qPCR	1.330135774
Mouse 500 µg 1x 1wk	ASO 8	Cortex Cd68 qPCR	1.414061884
Mouse 500 µg 1x 1wk	ASO 4	Cortex Cd68 qPCR	1.248432225
Mouse 500 µg 1x 1wk	PBS	Cortex Cd68 qPCR	1.008456008
Mouse 500 µg 1x 1wk	ASO F	Cortex Cd68 qPCR	1.346594759
Mouse 500 µg 1x 1wk	ASO A	Cortex Cd68 qPCR	1.339282124
Mouse 500 µg 1x 1wk	ASO C	Cortex Cd68 qPCR	1.286949124
Mouse 500 µg 1x 1wk	ASO D	Cortex Cd68 qPCR	1.291659306
Mouse 500 µg 1x 1wk	ASO B	Cortex Cd68 qPCR	1.246798258
Mouse 500 µg 1x 1wk	ASO G	Cortex Cd68 qPCR	1.182336329
Mouse 500 µg 1x 1wk	ASO E	Cortex Cd68 qPCR	1.134699493
Mouse 500 µg 1x 1wk	ASO I	Cortex Cd68 qPCR	1.351199864
Mouse 500 µg 1x 1wk	ASO 5	Cortex Cd68 qPCR	1.598816978
Mouse 500 µg 1x 1wk	ASO 6	Cortex Cd68 qPCR	1.156189674
Mouse 500 µg 1x 1wk	ASO 2	Cortex Cd68 qPCR	1.569373328
Mouse 500 µg 1x 1wk	ASO 3	Cortex Cd68 qPCR	1.293530703
Mouse 500 µg 1x 1wk	ASO 1	Cortex Cd68 qPCR	1.435036374
