sample_id	aso_name	condition	inoculum	umap1	umap2
229315	ASO 1	tolerated	RML	-3.538548131640866	-0.32454295605571815
229310	ASO B	tolerated	RML	-1.3534466225466275	-1.9000529810801323
229379	ASO 2	toxic	CBH	8.182283739391849	-9.2130496069804
229291	PBS	PBS	RML	0.4896205466428256	-0.05857671946437903
229338	PBS	PBS	RML	2.4838336508908725	-0.46329446286113807
229355	ASO 1	tolerated	RML	-3.505498548205807	0.26093698888866357
229331	PBS	PBS	RML	1.629429201427982	0.2745637133702462
229365	PBS	PBS	RML	2.4546521704831576	0.44823165088741235
229354	PBS	PBS	RML	2.8038600485959506	0.28792352825252465
229301	ASO A	tolerated	RML	-5.58019413536401	-0.588301376999932
229340	PBS	PBS	CBH	9.473932604137945	-3.84571905583294
229386	PBS	PBS	RML	0.30057273322729827	0.5720098748788064
229375	ASO B	tolerated	RML	-0.5941225487551236	-1.3499302431956108
229297	ASO F	toxic	RML	-4.956214090045407	4.328451676665229
229350	PBS	PBS	RML	1.543292383495853	-0.07393427342327186
229383	ASO B	tolerated	RML	-1.1048361260256314	-1.3054983183756643
229387	PBS	PBS	RML	2.187822679821537	-1.210034684838372
229351	ASO G	tolerated	RML	-2.1810270745119595	3.1867204144581978
229360	PBS	PBS	RML	1.259840349499271	0.7404410973176186
229352	ASO B	tolerated	RML	0.6155379813352084	-1.7228569552317436
229362	ASO D	toxic	RML	-7.013296266253903	4.8696501687154
229336	ASO A	tolerated	RML	-5.327717443164303	0.2954143121823495
229376	ASO I	toxic	RML	-8.523084302600338	5.426583094893378
229345	ASO A	tolerated	RML	-4.654237409289792	0.11576704531757288
229333	ASO I	toxic	RML	-8.839916368182614	6.659816069899482
229308	ASO 2	toxic	RML	-5.211987157519772	6.555504603682441
229335	ASO 2	toxic	CBH	-1.5772797066530728	2.3786946967229072
229298	PBS	PBS	CBH	8.29341540748267	-8.424369530381279
229292	ASO D	toxic	RML	-5.953226705249264	3.891852183638496
229329	ASO F	toxic	RML	-4.902378221209958	3.605704350768012
229359	ASO F	toxic	RML	-4.6003900963625455	2.413392467795295
229317	ASO 2	toxic	RML	-5.407158990558102	7.589294238387031
229295	ASO A	tolerated	RML	-4.588039060290768	-0.4168518349543387
229312	PBS	PBS	CBH	8.95722041541724	-8.217702583970146
229392	ASO I	toxic	RML	-9.109568973239377	5.635132117567939
229296	PBS	PBS	RML	0.6402705710568881	-0.5135876700297172
229391	ASO 1	tolerated	RML	-2.2966886956057095	-1.3414620921030815
229337	PBS	PBS	RML	1.5703462165036657	-0.7996286913767631
229374	PBS	PBS	CBH	8.808016161266849	-4.140577988328057
229324	ASO F	toxic	RML	-5.261465211566403	3.0135372117146675
229372	ASO G	tolerated	RML	-0.4635635811647916	0.2966560855492776
229316	ASO D	toxic	RML	-6.180183549579098	4.711795134840888
229313	ASO A	tolerated	RML	-5.0759879547915006	-0.9226140543833548
229322	ASO I	toxic	RML	-9.582485814746336	6.096079154311103
229347	ASO 2	toxic	CBH	7.750526766125248	-7.696858124436456
229330	ASO B	tolerated	RML	-0.18817295616479157	-1.8095056578532036
229385	ASO G	tolerated	RML	-1.5380541283449674	1.6231921747311775
229304	ASO B	tolerated	RML	0.1693070929685092	-2.518711523713189
229311	ASO 2	toxic	CBH	6.774347643200443	-9.022930817307548
229381	ASO D	toxic	RML	-6.3809639412722134	4.160927577315253
229314	ASO C	toxic	RML	-7.521635194476559	7.026452822981757
229325	ASO 2	toxic	RML	-6.9778667885622525	7.950770659743232
229366	ASO 2	toxic	RML	-6.268508096393063	7.201350016890449
229369	PBS	PBS	RML	2.0332206290402866	1.2943994835004036
229367	ASO F	toxic	RML	-4.8025361496767545	1.5224363639935676
229348	ASO 1	tolerated	RML	-3.387850423510983	-1.0432505175486382
229306	ASO D	toxic	RML	-6.096626897510006	5.410860820113105
229382	ASO 2	toxic	CBH	7.286177019421146	-9.595233635605888
229300	ASO I	toxic	RML	-8.48635925834985	6.387395186720771
229307	PBS	PBS	CBH	9.079681734386966	-4.767163948716241
229328	ASO 2	toxic	RML	-6.330918451007321	7.7704742386922065
229321	ASO 1	tolerated	RML	-2.8035999733767056	-0.5648711487665946
229319	ASO A	tolerated	RML	-4.237971921618893	-1.4178993269816216
229341	PBS	PBS	CBH	7.449148516003177	-9.971891121567802
229361	ASO 1	tolerated	RML	-2.6952387291750455	0.07915405779926232
229293	ASO 2	toxic	CBH	7.301174501720951	-8.942261414231377
229393	ASO D	toxic	RML	-6.6740409333071256	5.010399623213691
229343	ASO 2	toxic	RML	-5.865122934039547	6.968374057112617
