gene	sign	log2fold_change	padj	base_mean
Agt	-1	-1.187118692474601	1.8618820109170987e-5	75.23834841305997
Anxa2	1	1.045404830630234	1.1699048749604648e-6	40.4724640944439
Aox1	1	1.0086927769652234	2.6884916836873555e-4	11.661398626085775
Apod	1	1.538196217640338	5.31017641404261e-10	1980.319899875356
Aqp4	-1	-1.2781670326788552	1.2607875695243758e-6	66.49782381156392
Arrdc2	1	1.2016177625248532	1.0479999228828354e-6	19.547107679892235
BC028528	1	2.8944924240558714	1.3710106102155385e-4	18.607902653513055
Bcan	-1	-1.0891565657940585	3.0216453146586206e-29	179.85489844999833
Bcl3	1	1.0001259912020148	0.00505765526645055	11.29940672732907
Ccn1	1	1.2564990146669446	0.01054710703442366	19.10760365425187
Cd44	1	1.1070092261443016	0.00475062862559722	64.36278420738563
Cdkn1a	1	2.9537025918497695	1.1807143270095482e-35	121.91420879608
Cebpd	1	1.2262787816500726	9.017476494593376e-13	58.66973544294514
Col11a2	-1	-1.0894990741660473	9.033111403056649e-8	10.820838256724947
Col5a3	1	1.028259145185224	0.00819806808135432	11.02752178038215
Cox6b2	1	1.1498007823452947	1.4642331081957084e-4	51.27652341610425
Ctla2a	1	1.4044440791161883	6.913909040251814e-5	30.01309603267805
Emp1	1	1.5347218918847645	7.182396190527374e-6	11.124656895293242
Fkbp5	1	1.2550379649153978	4.3198966074699283e-7	87.1275845666762
Flnc	1	1.5397843122725137	1.1699048749604648e-6	22.664305703603816
Gadd45b	1	1.1824589668255403	0.00294125297426678	22.546981915056637
Gdf15	1	2.0075687392040633	2.536334226113048e-12	12.092364161701608
Gm21781	1	1.5021861320545022	0.01105766611552315	35.068205367541225
Gpc5	-1	-2.128645289622021	1.859928090806312e-28	15.059967241293492
Gpd1	1	1.1400386284850004	1.819099318428536e-19	245.87452235602993
Gpr17	-1	-1.1503683396743936	0.02871235109725603	24.93485747671381
Hba-a1	-1	-1.2423699451767063	8.803063480048615e-5	328.4748226272483
Hba-a2	-1	-1.1416255998166125	7.777109145493326e-6	1598.2508099919614
Hbb-bs	-1	-1.2939699195645535	2.2031430004589545e-6	526.9175195226245
Hbb-bt	-1	-1.3476140727213597	3.065307140150444e-6	131.2100924248614
Hmox1	1	1.4284418456994177	5.885915608979803e-10	79.85103582835879
Hspb1	1	1.9144736554177717	5.6672936832453585e-8	272.7622718695286
Igfbp3	1	1.15908387927517	1.1790372664252252e-4	19.392195200468684
Igsf1	-1	-1.495587176448948	9.725121898280525e-16	15.905568515240116
Klk6	1	1.3387123925792714	6.823183798308299e-10	58.94121542902154
Lgals1	1	1.0437954503716969	1.1068030597374632e-4	96.91772693910208
Lgals3	1	1.3954198507118971	1.6302881882868058e-10	32.854539266377614
Map3k6	1	1.1203699969347365	3.0240875924568227e-4	15.55236794591452
Ms4a6d	1	1.2502680287155246	0.0021384791354639	13.30087105431084
Nat8f3	-1	-1.1342229531741563	0.00111508661616176	14.470679004522768
Nfkbiz	1	1.2719287930379464	1.1587973904315091e-5	13.65858274895866
Npas3	-1	-1.0234085538096895	1.4936435375547662e-11	33.51684873415096
Ntsr2	-1	-2.0102687096257927	6.7542637103586e-27	103.3170495398359
Nupr1	1	1.5514729407880192	1.774811942685386e-7	144.24931183701807
Paqr6	-1	-1.0960840257939213	3.242417771019914e-16	54.26101171245158
Phkg1	-1	-1.218626748270241	3.192054911365227e-7	15.392235093708196
Plin4	1	2.3689094427309305	5.656825801045518e-8	22.80444891239613
Rhoj	1	1.087896884837296	0.00341043683003726	36.45941672500634
S100a11	1	1.04999154901722	7.915385581410189e-13	154.43090127913484
S100a4	1	1.4939243250858647	6.404043501528613e-4	62.28744004448333
Sfrp5	-1	-1.3239413824442603	9.741566266810564e-9	11.855035401970555
Sgk1	1	1.0123578304542986	1.678394004519972e-5	132.18784184499737
Slc25a18	-1	-1.551361986509366	1.3102383153639618e-24	41.43652888381997
Slc39a12	-1	-1.4912664876785493	1.4788926369176724e-14	30.334899514527823
Slc6a11	-1	-1.415688449786447	1.3355827171204573e-15	609.4899112398228
Snhg15	1	1.498888442951474	4.264342015976258e-5	19.984971138611257
Socs3	1	1.932558368209085	1.0665351207672076e-4	15.2609882623468
Spp1	1	1.14848740954213	7.124426627752871e-4	98.1738084712835
Tagln2	1	1.2852934336101276	6.255996907951753e-12	88.62832091491926
Tgfbi	1	1.1969378398540411	0.00277592856171402	14.584628437674388
Tspo	1	1.060388917009226	1.3392394503273691e-6	19.17109367492876
Tst	-1	-1.3393503790101724	3.073603343747023e-7	11.11764323395326
Tubb6	1	1.8034581349944196	1.6835231049341342e-8	17.923510590006362
Vim	1	1.8069817252721472	2.569094490405462e-10	549.9108850334437
Xdh	1	1.0409429364096263	1.9112805306933516e-6	28.63884792245576
