contrast_id	display_name	condition	inoculum	gtox_score
RML_PBS_vs_RML_PBS	PBS	PBS	RML	0
RML_ASOB_vs_RML_PBS	ASO B	tolerated	RML	2.495211698819266
RML_ASO1_vs_RML_PBS	ASO 1	tolerated	RML	7.292894980527056
CBH_ASO2_vs_CBH_PBS	ASO 2	toxic	CBH	10.0483623892773
RML_ASOG_vs_RML_PBS	ASO G	tolerated	RML	10.764166361975231
RML_ASOA_vs_RML_PBS	ASO A	tolerated	RML	16.985464666338487
RML_ASOF_vs_RML_PBS	ASO F	toxic	RML	31.48294459907867
RML_ASOD_vs_RML_PBS	ASO D	toxic	RML	46.91665963430077
RML_ASO2_vs_RML_PBS	ASO 2	toxic	RML	48.85907245861059
RML_ASOC_vs_RML_PBS	ASO C	toxic	RML	58.94157179539496
RML_ASOI_vs_RML_PBS	ASO I	toxic	RML	66.38227703073947
