dataset	group1	group2	gtox_score	n_gtox
21-01ac	CBH_120_ASO1	CBH_120_PBS	-0.5635831498177244	28
21-01ac	CBH_91_ASO1	CBH_91_PBS	0.11392593927647487	28
21-01ac	CBH_91_ASO2	CBH_91_PBS	-2.8510169709111373	28
21-01ac	CBH_94_ASO1	CBH_94_PBS	-0.23252197905421232	28
21-01ac	CBH_94_ASO2	CBH_94_PBS	2.38545678497445	28
21-01ac	CBH_97_ASO1	CBH_97_PBS	0.676095164699096	28
21-01ac	CBH_97_ASO2	CBH_97_PBS	-1.3527624066633506	28
21-01ac	RML_120_ASO1	RML_120_PBS	-0.10674275521351445	28
21-01ac	RML_120_PBS	CBH_120_PBS	2.086132627417353	28
21-01ac	RML_149_PBS	CBH_149_PBS	3.409697135965693	28
21-01ac	RML_60_NO	CBH_60_NO	1.5243340545304982	28
21-01ac	RML_89_NO	CBH_89_NO	1.0784704270632488	28
21-01ac	RML_91_ASO1	RML_91_PBS	3.638815204181896	28
21-01ac	RML_91_ASO2	CBH_91_ASO2	7.242472680919682	28
21-01ac	RML_91_ASO2	RML_91_ASO1	3.0721111193475723	28
21-01ac	RML_91_ASO2	RML_91_PBS	6.710926323529469	28
21-01ac	RML_94_ASO1	RML_94_PBS	17.457374398650895	28
21-01ac	RML_94_ASO2	CBH_94_ASO2	18.272251944048282	28
21-01ac	RML_94_ASO2	RML_94_ASO1	4.672831017031187	28
21-01ac	RML_94_ASO2	RML_94_PBS	22.13020541568208	28
21-01ac	RML_97_ASO1	RML_97_PBS	15.035716408550677	28
21-01ac	RML_97_ASO2	CBH_97_ASO2	35.57831673505441	28
21-01ac	RML_97_ASO2	RML_149_PBS	65.95260962549206	64
21-01ac	RML_97_ASO2	RML_97_ASO1	18.588863266479038	28
21-01ac	RML_97_ASO2	RML_97_PBS	33.624579675029715	28
23-0afa	ASO1	PBS	-19.222059776658217	40
23-0afa	ASO2	PBS	35.21798029877642	40
23-0afa	ASO3	PBS	-2.668449902764599	40
23-0afa	ASO4	PBS	1.6661008955393939	40
23-0afa	ASO5	PBS	27.202312521010526	40
23-0afa	ASO6	PBS	-16.390123753016113	40
23-0afa	ASO7	PBS	24.413028359024807	40
23-0afa	ASO8	PBS	44.19460389678345	40
24-0432	CBH_ASO2	CBH_PBS	10.048362389277301	38
24-0432	CBH_ASO2-MOE	CBH_PBS	2.6895562963841155	38
24-0432	CBH_ASO2-MsPA1	CBH_PBS	0.15255912110600078	38
24-0432	CBH_ASO2-OMe2	CBH_PBS	-2.226359809824348	38
24-0432	RML_ASO1	RML_PBS	7.292894980527056	38
24-0432	RML_ASO2	CBH_ASO2	52.830401058650324	38
24-0432	RML_ASO2	RML_PBS	48.85907245861061	38
24-0432	RML_ASO2-MOE	CBH_ASO2-MOE	20.44094855875879	38
24-0432	RML_ASO2-MOE	RML_PBS	9.110813865825893	38
24-0432	RML_ASO2-MsPA1	CBH_ASO2-MsPA1	22.65035872764345	38
24-0432	RML_ASO2-MsPA1	RML_PBS	8.783226859432435	38
24-0432	RML_ASO2-OMe2	CBH_ASO2-OMe2	35.503243914787454	38
24-0432	RML_ASO2-OMe2	RML_PBS	19.257193115646093	38
24-0432	RML_ASOA	RML_PBS	16.985464666338487	38
24-0432	RML_ASOB	RML_PBS	2.4952116988192663	38
24-0432	RML_ASOC	RML_PBS	58.941571795394964	38
24-0432	RML_ASOD	RML_PBS	46.91665963430076	38
24-0432	RML_ASOF	RML_PBS	31.482944599078678	38
24-0432	RML_ASOG	RML_PBS	10.76416636197523	38
24-0432	RML_ASOI	RML_PBS	66.38227703073946	38
24-0432	RML_PBS	CBH_PBS	14.019690989317015	38
