gene	gene_length_bp	base_mean	log2fold_change	padj
1700030J22Rik	9365	5.344971644991247	-5.488460996372582e-4	0.999982134794756
1810010H24Rik	4762	6.925737658570108	-1.1471676324185462e-4	0.999982134794756
2010315B03Rik	20892	11.141919242050818	9.804046171962078e-4	0.999982134794756
2610008E11Rik	33226	45.81354478211022	1.0347098899346794e-4	0.999982134794756
2610203C22Rik	70343	0.9343328496457142	0.00339553259880737	0.999982134794756
Aamdc	29166	115.58320423528474	-3.419291049576345e-4	0.999982134794756
Abhd14a	7627	54.51170615912569	3.4543699457459886e-4	0.999982134794756
Arap2	163714	97.7476736444727	-2.143725819987331e-4	0.999982134794756
Atg14	29756	18.003437809366858	-2.302373221065831e-4	0.999982134794756
Babam2	387278	64.21699745075941	1.593316062918635e-5	0.999982134794756
Bco2	22094	4.147918042084458	-2.444425969595898e-4	0.999982134794756
Bend4	36163	2.8678642340742866	-5.148257797661098e-4	0.999982134794756
Bnip3	18683	44.17393273538392	-1.1518167156119808e-4	0.999982134794756
Catsperd	36313	1.6510877700766606	0.00198324931485403	0.999982134794756
Ccdc92	28006	176.81848980722668	2.3185655222231788e-4	0.999982134794756
Cdon	86524	25.97173649330535	3.905066719049654e-4	0.999982134794756
Coa7	13404	18.473656266856143	5.231590005543435e-4	0.999982134794756
Crnkl1	17535	19.764601412756107	3.0970350965142345e-6	0.999982134794756
Ctr9	27426	58.05402459114278	-8.433055439698702e-5	0.999982134794756
Cyp4f13	22714	9.603523157360195	-3.9109530111141894e-4	0.999982134794756
Dck	18285	20.39785047299288	4.279631758227002e-4	0.999982134794756
Dgkg	188760	27.890035443935055	-5.367606224604567e-4	0.999982134794756
Dlgap4	150658	331.5685991480358	-2.4518904967402177e-4	0.999982134794756
E2f2	23663	0.908267563042427	-0.00128372536698324	0.999982134794756
Eef2kmt	11831	12.096335369353222	9.25970256738124e-6	0.999982134794756
Etnk2	16764	12.553271125213012	-7.487776089735321e-4	0.999982134794756
Fam133b	26405	44.28352057483671	2.241567175639131e-4	0.999982134794756
Fam207a	29124	92.14715428716168	-2.113728157354772e-5	0.999982134794756
Glyctk	5281	2.545917953304722	0.00153517092263193	0.999982134794756
Gm128	4678	0.8216241562195739	-0.00182165652537059	0.999982134794756
Gm15644	386	2.1513823381263544	-0.00131235054366859	0.999982134794756
Gm29155	1934	2.285162625897139	-3.336439458302559e-4	0.999982134794756
Gm3550	1655	8.992207246041568	0.00101822840781818	0.999982134794756
Gm49309	1852	1.524859222885043	-0.00215793982258619	0.999982134794756
Gm6569	5347	0.9883810617677038	0.001908595346524	0.999982134794756
Gm7504	423	1.1500917678487683	-0.00659963337903119	0.999982134794756
Gulo	22421	11.169827942832075	-0.00126458961381712	0.999982134794756
Hsd17b6	16675	2.0900806188446146	-0.00248638638596094	0.999982134794756
Il10ra	15312	4.808401381365061	2.7563081190677875e-4	0.999982134794756
Ints10	37738	33.79950490264093	-5.831803450136315e-4	0.999982134794756
Ints14	26073	19.40806763800085	-4.263870847254698e-4	0.999982134794756
Irf6	18912	0.9455893818076369	1.4766446879946617e-4	0.999982134794756
Kcnk3	37101	33.97606761081479	-4.4395057275868215e-4	0.999982134794756
Larp1	52970	184.728231955975	-1.8231908645192975e-4	0.999982134794756
Lrrk1	161438	6.972892722727966	-4.680290457237614e-5	0.999982134794756
Lysmd1	5430	41.56519248925138	1.6676275005231712e-4	0.999982134794756
Mfsd13a	34131	7.1140375340074105	-9.875229559914932e-4	0.999982134794756
Mrpl33	67449	120.49909577096253	-2.7349440703329926e-4	0.999982134794756
Ms4a12	18366	16.200728423207007	-2.4889047555888723e-5	0.999982134794756
Mtres1	15861	62.76198679843708	1.61985188934649e-4	0.999982134794756
Pabpc1l	25088	1.978383988384106	-6.326681835532327e-4	0.999982134794756
