gene	dpi	dpi_label	log2fc	pval	p_bonf	celltype
0610005C13Rik	28	28 dpi	0.1696	0.8876	1	0_none
0610007C21Rik	28	28 dpi	0.1205	0.4224	1	0_none
0610007L01Rik	28	28 dpi	0.04896	0.7403	1	0_none
0610007N19Rik	28	28 dpi	0.3217	0.402	1	0_none
0610007P08Rik	28	28 dpi	-0.2735	0.1302	1	0_none
0610007P14Rik	28	28 dpi	-0.1157	0.46	1	0_none
0610007P22Rik	28	28 dpi	0.2027	0.2945	1	0_none
0610008F07Rik	28	28 dpi	0	1	1	0_none
0610009B14Rik	28	28 dpi	-0.811	0.6099	1	0_none
0610009B22Rik	28	28 dpi	0.05038	0.8203	1	0_none
0610009D07Rik	28	28 dpi	-0.05436	0.7387	1	0_none
0610009L18Rik	28	28 dpi	0.05312	0.8808	1	0_none
0610009O20Rik	28	28 dpi	0.11	0.483	1	0_none
0610010B08Rik	28	28 dpi	0.3873	0.4503	1	0_none
0610010F05Rik	28	28 dpi	-0.2452	0.1055	1	0_none
0610010K14Rik	28	28 dpi	0.2538	0.2325	1	0_none
0610010O12Rik	28	28 dpi	0.302	0.1883	1	0_none
0610011F06Rik	28	28 dpi	0.04627	0.8386	1	0_none
0610011L14Rik	28	28 dpi	-0.009674	0.9498	1	0_none
0610012G03Rik	28	28 dpi	0.1741	0.3529	1	0_none
0610012H03Rik	28	28 dpi	1.804	0.2842	1	0_none
0610030E20Rik	28	28 dpi	-0.09504	0.5452	1	0_none
0610031J06Rik	28	28 dpi	0.1447	0.3609	1	0_none
0610031O16Rik	28	28 dpi	0	1	1	0_none
0610037L13Rik	28	28 dpi	-0.03457	0.8415	1	0_none
0610037P05Rik	28	28 dpi	5.509e-4	0.9973	1	0_none
0610038B21Rik	28	28 dpi	-1.455	0.1288	1	0_none
0610038L08Rik	28	28 dpi	-2.799	0.1109	1	0_none
0610039K10Rik	28	28 dpi	-2.811	0.11	1	0_none
0610040B10Rik	28	28 dpi	-0.01116	0.9795	1	0_none
0610040F04Rik	28	28 dpi	0.8071	0.09393	1	0_none
0610043K17Rik	28	28 dpi	-0.05215	0.9283	1	0_none
0910001L09Rik	28	28 dpi	0.2742	0.1395	1	0_none
100043387	28	28 dpi	-0.3644	0.2551	1	0_none
1100001G20Rik	28	28 dpi	1.861	0.2768	1	0_none
1110001A16Rik	28	28 dpi	-0.1088	0.6337	1	0_none
1110001J03Rik	28	28 dpi	0.4238	0.1474	1	0_none
1110002B05Rik	28	28 dpi	0.1018	0.5854	1	0_none
1110002L01Rik	28	28 dpi	-0.068	0.743	1	0_none
1110002N22Rik	28	28 dpi	-0.001539	0.9958	1	0_none
1110003E01Rik	28	28 dpi	-0.07314	0.585	1	0_none
1110004E09Rik	28	28 dpi	0.1899	0.3058	1	0_none
1110004F10Rik	28	28 dpi	-0.09685	0.4622	1	0_none
1110005A03Rik	28	28 dpi	0.03118	0.8746	1	0_none
1110006O24Rik	28	28 dpi	0.07422	0.9339	1	0_none
1110007C09Rik	28	28 dpi	0.202	0.5672	1	0_none
1110008F13Rik	28	28 dpi	-0.03267	0.8413	1	0_none
1110008J03Rik	28	28 dpi	0.1515	0.5586	1	0_none
1110008L16Rik	28	28 dpi	-0.1045	0.707	1	0_none
1110008P14Rik	28	28 dpi	0.5601	0.01136	1	0_none
1110012J17Rik	28	28 dpi	0.3649	0.1537	1	0_none
1110012L19Rik	28	28 dpi	0.01077	0.9652	1	0_none
1110014N23Rik	28	28 dpi	0.2608	0.1261	1	0_none
1110015O18Rik	28	28 dpi	-0.7364	0.2834	1	0_none
1110017D15Rik	28	28 dpi	0.3162	0.423	1	0_none
1110017F19Rik	28	28 dpi	1.04	0.395	1	0_none
1110018G07Rik	28	28 dpi	-0.1404	0.4671	1	0_none
1110018J18Rik	28	28 dpi	-0.07402	0.8146	1	0_none
1110019D14Rik	28	28 dpi	-0.15	0.7138	1	0_none
1110020A21Rik	28	28 dpi	0.5671	0.2651	1	0_none
1110020G09Rik	28	28 dpi	-0.1409	0.3317	1	0_none
1110021J02Rik	28	28 dpi	0.0385	0.8409	1	0_none
1110021L09Rik	28	28 dpi	-0.1471	0.393	1	0_none
1110028C15Rik	28	28 dpi	-0.2636	0.2441	1	0_none
1110028F11Rik	28	28 dpi	-0.1684	0.8771	1	0_none
1110028F18Rik	28	28 dpi	1.804	0.2842	1	0_none
1110031I02Rik	28	28 dpi	0.267	0.4336	1	0_none
