our_dpi	aguzzi_dpi	gene	this_study_log2fc	sorce_nuvolone_log2fc	this_study_padj	sorce_nuvolone_p_bonf	celltype
89	84	Tmem64	1.058601756206728e-5	-0.2765	1	1	0_none
89	84	Maf1	2.6144798357045887e-5	-0.006485	1	1	0_none
60	56	Zdhhc5	4.913427794655606e-6	0.1173	0.9999848155220414	1	0_none
120	126	Cog4	-2.1662983976157715e-5	0.1046	0.9999257719607644	1	0_none
60	56	Eif2s1	-9.600461622454508e-5	0.2875	0.9998615324126342	1	0_none
149	140	Arcn1	7.225628734742848e-5	-0.2005	0.999857413108322	1	0_none
60	56	Kit	1.6885104776273054e-4	-0.2501	0.9998303857733408	1	0_none
60	56	Pten	-1.086902803056124e-4	0.3173	0.9998303857733408	1	0_none
60	56	Kctd20	1.9772616090909213e-4	0.16	0.9997989419484794	1	0_none
60	56	Bap1	-1.7058749864922986e-4	-0.1556	0.9997989419484794	1	0_none
60	56	Tmem126a	2.3777837470496168e-4	0.1634	0.9997989419484794	1	0_none
60	56	Armcx2	1.5350530718497067e-4	-0.1235	0.9997989419484794	1	0_none
60	56	Camkk2	1.065760421804792e-4	0.005647	0.9997989419484794	1	0_none
60	56	Eno2	1.6992940168749843e-4	-0.1361	0.9997989419484794	1	0_none
60	56	Syt5	-2.2853347993248696e-4	-0.3006	0.9997989419484794	1	0_none
60	56	Rab3a	1.2785156610300877e-4	-0.2532	0.9997989419484794	1	0_none
60	56	Phip	-4.229765645198096e-4	0.3301	0.9997989419484794	1	0_none
60	56	Mllt3	5.217372206028786e-4	0.221	0.9997989419484794	1	0_none
60	56	Trio	4.741807894196485e-4	-0.1566	0.9997989419484794	1	0_none
60	56	Kdm6b	-8.954009252218496e-4	-0.5602	0.9997989419484794	1	0_none
60	56	Shf	-9.660493752596512e-4	-0.42	0.9997989419484794	1	0_none
149	140	Trmt112	-1.3805414766504992e-4	0.3422	0.9997826304704498	1	0_none
89	84	Wfs1	-2.1151903872361925e-4	-0.01018	0.9997014632078782	1	0_none
120	126	Slc25a5	1.4566643135413034e-4	-0.04255	0.9996878994325048	1	0_none
89	84	Crym	1.6498928351920916e-4	0.6082	0.999662388620542	1	0_none
89	84	Tom1	3.419100938434315e-4	0.1203	0.999662388620542	1	0_none
89	84	Klhl18	3.5718328687967996e-4	0.01861	0.999662388620542	1	0_none
