collection	pathway	NES	padj	pval	size
Reactome	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	2.3029159747961736	1.6614295986676356e-19	1.7618553538363049e-22	448
Reactome	REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	2.5466542004701576	1.492664948125641e-16	3.1657793173396416e-19	135
Reactome	REACTOME_TRANSLATION	2.246590955097075	1.961844979583975e-14	6.241288376195043e-17	348
Reactome	REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	2.4281931931335805	5.300885091079641e-13	2.248519656873655e-15	142
Reactome	REACTOME_INFLUENZA_INFECTION	2.4122990584975326	8.071470255068311e-13	4.279676699399953e-15	138
Reactome	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	2.4165417310205086	3.1949504358130723e-12	2.032842270930905e-14	114
Reactome	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	2.4492399218557845	3.72812910085957e-12	2.767434115166171e-14	87
Hallmark	HALLMARK_INTERFERON_GAMMA_RESPONSE	2.4295835398904235	4.2581443557198335e-12	8.516288711439667e-14	111
Reactome	REACTOME_RRNA_PROCESSING	2.3106429510269626	4.895538095154333e-12	4.15316063215638e-14	188
Reactome	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	2.440822827349637	1.3146430969773286e-11	1.2546964870409287e-13	93
