gene	dpi	source	log2fc	padj	p_bonf
Lgals3	28	sn20	0.3123	0.9959	1
Lgals3	56	sn20	-0.491	0.5149	1
Lgals3	84	sn20	-0.4037	0.712	1
Lgals3	98	sn20	-2.701	0.1426	1
Lgals3	112	sn20	-0.5995	0.5167	1
Lgals3	126	sn20	0.008407	0.9978	1
Lgals3	140	sn20	0.7419	0.4942	1
Lgals3	170	sn20	3.967	1.797e-10	1.01177873e-7
Lgals3bp	28	sn20	0.1191	0.9959	1
Lgals3bp	56	sn20	-0.3408	0.1741	1
Lgals3bp	84	sn20	-0.188	0.7557	1
Lgals3bp	98	sn20	-0.6296	0.3218	1
Lgals3bp	112	sn20	0.4812	0.5892	1
Lgals3bp	126	sn20	1.951	2.419e-11	5.2840185e-10
Lgals3bp	140	sn20	1.733	4.115e-7	2.7621536e-5
Lgals3bp	170	sn20	3.637	3.0799999999999995e-37	8.9326741e-36
Lgals9	28	sn20	0.2079	0.9959	1
Lgals9	56	sn20	-0.07283	0.8653	1
Lgals9	84	sn20	-0.1411	0.8297	1
Lgals9	98	sn20	-0.5037	0.6157	1
Lgals9	112	sn20	0.472	0.4533	1
Lgals9	126	sn20	1.239	0.009399	1
Lgals9	140	sn20	0.9542	0.02546	1
Lgals9	170	sn20	2.418	2.061e-24	2.29604018e-22
Lgals3bp	127	24-0432	2.3103885414413257	9.7589887526513e-34	8.785135310520165e-33
Lgals3	127	24-0432	2.3370713775257506	6.972162375272814e-8	6.625096770309011e-6
Lgals9	127	24-0432	0.9572354877006256	8.639359039545624e-4	0.17801224260407034
Lgals3bp	120	21-01ac	1.6888037748840314	3.3840227728540584e-6	5.7528387138519e-5
Lgals3bp	149	21-01ac	2.483838410651795	4.456513905299191e-16	4.010862514769272e-15
Lgals3bp	60	21-01ac	0.10653083296727456	0.9869167045523968	1
Lgals3bp	89	21-01ac	1.59563832918366	0.00265995779126763	0.013481110815282565
