animal	display_name	survival_dpi	event
141	PBS	163	1
142	PBS	178	1
143	PBS	151	1
144	PBS	169	1
145	PBS	178	1
146	PBS	169	1
147	PBS	163	1
148	PBS	163	1
149	ASO 2	112	1
150	ASO 2	112	1
151	ASO 2	112	1
152	ASO 2	112	1
153	ASO 2	112	1
154	ASO 2	112	1
155	ASO 2	112	1
156	ASO 2	112	1
158	ASO 2 + 2'OMe gap position 2	240	1
161	ASO 2 + full 2'MOE	124	1
162	ASO 2 + full 2'MOE	174	1
163	ASO 2 + full 2'MOE	161	1
164	ASO 2 + full 2'MOE	129	1
165	ASO 2 + full 2'MOE	129	1
166	ASO 2 + full 2'MOE	153	1
167	ASO 2 + full 2'MOE	161	1
168	ASO 2 + full 2'MOE	161	1
169	ASO 2 + 2'OMe gap position 2	240	1
170	ASO 2 + 2'OMe gap position 2	240	1
171	ASO 2 + 2'OMe gap position 2	232	1
172	ASO 2 + 2'OMe gap position 2	232	1
173	ASO 2 + 2'OMe gap position 2	244	1
174	ASO 2 + 2'OMe gap position 2	234	1
175	ASO 2 + 2'OMe gap position 2	240	1
177	ASO 2 + MsPA (design 2)	113	1
178	ASO 2 + MsPA (design 2)	112	1
179	ASO 2 + MsPA (design 2)	114	1
183	ASO 2 + MsPA (design 2)	112	1
184	ASO 2 + MsPA (design 2)	112	1
186	ASO 2 + MsPA (design 2)	116	1
187	ASO 2 + MsPA (design 2)	112	1
188	ASO 2 + MsPA (design 2)	112	1
