ngsid	group_letter	inoculum
229291	A	RML
229292	G	RML
229293	Q	CBH
229294	S	CBH
229295	L	RML
229296	I	RML
229297	H	RML
229298	P	CBH
229299	E	RML
229300	J	RML
229301	L	RML
229302	R	CBH
229303	R	CBH
229304	M	RML
229305	S	CBH
229306	G	RML
229307	P	CBH
229308	B	RML
229309	R	CBH
229310	M	RML
229311	Q	CBH
229312	P	CBH
229313	L	RML
229314	F	RML
229315	K	RML
229316	G	RML
229317	B	RML
229318	D	RML
229319	L	RML
229320	E	RML
229321	K	RML
229322	J	RML
229323	E	RML
229324	H	RML
229325	B	RML
229326	C	RML
229327	S	CBH
229328	B	RML
229329	H	RML
229330	M	RML
229331	I	RML
229332	R	CBH
229333	J	RML
229334	R	CBH
229335	Q	CBH
229336	L	RML
229337	A	RML
229338	I	RML
229339	T	CBH
229340	P	CBH
229341	P	CBH
229342	T	CBH
229343	B	RML
229344	T	CBH
229345	L	RML
229346	C	RML
229347	Q	CBH
229348	K	RML
229349	C	RML
229350	I	RML
229351	N	RML
229352	M	RML
229353	S	CBH
229354	I	RML
229355	K	RML
229356	T	CBH
229357	C	RML
229358	C	RML
229359	H	RML
229360	A	RML
229361	K	RML
229362	G	RML
229363	T	CBH
229364	E	RML
229365	A	RML
229366	B	RML
229367	H	RML
229368	T	CBH
229369	A	RML
229370	D	RML
229371	D	RML
229372	N	RML
229373	D	RML
229374	P	CBH
229375	M	RML
229376	J	RML
229377	S	CBH
229378	D	RML
229379	Q	CBH
229380	E	RML
229381	G	RML
229382	Q	CBH
229383	M	RML
229384	E	RML
229385	N	RML
229386	A	RML
229387	I	RML
229388	R	CBH
229389	S	CBH
229390	D	RML
229391	K	RML
229392	J	RML
229393	G	RML
229394	C	RML
