ngsid,studies,tissue,treatment,userId,num_uniq_mapped,genome-species
229337,24-0432,half brain,PBS,SLi,2393335,mus-musculus-109
229340,24-0432,half brain,PBS,SLi,1553150,mus-musculus-109
229359,24-0432,half brain,ASOF,SLi,2533378,mus-musculus-109
229341,24-0432,half brain,PBS,SLi,2106979,mus-musculus-109
229364,24-0432,half brain,ASO2-MsPA1,SLi,2318641,mus-musculus-109
229334,24-0432,half brain,ASO2-MOE,SLi,2041025,mus-musculus-109
229369,24-0432,half brain,PBS,SLi,1729548,mus-musculus-109
229322,24-0432,half brain,ASOI,SLi,2037522,mus-musculus-109
229351,24-0432,half brain,ASOG,SLi,1679564,mus-musculus-109
229343,24-0432,half brain,ASO2,SLi,2430157,mus-musculus-109
229329,24-0432,half brain,ASOF,SLi,1772828,mus-musculus-109
229347,24-0432,half brain,ASO2,SLi,2378333,mus-musculus-109
229332,24-0432,half brain,ASO2-MOE,SLi,2161737,mus-musculus-109
229333,24-0432,half brain,ASOI,SLi,2010563,mus-musculus-109
229361,24-0432,half brain,ASO1,SLi,1898241,mus-musculus-109
229293,24-0432,half brain,ASO2,SLi,2853035,mus-musculus-109
229318,24-0432,half brain,ASO2-OMe2,SLi,1660391,mus-musculus-109
229346,24-0432,half brain,ASO2-MOE,SLi,2909314,mus-musculus-109
229349,24-0432,half brain,ASO2-MOE,SLi,1959079,mus-musculus-109
229326,24-0432,half brain,ASO2-MOE,SLi,2230404,mus-musculus-109
229365,24-0432,half brain,PBS,SLi,1809990,mus-musculus-109
229357,24-0432,half brain,ASO2-MOE,SLi,2681823,mus-musculus-109
229348,24-0432,half brain,ASO1,SLi,1502375,mus-musculus-109
229314,24-0432,half brain,ASOC,SLi,2443507,mus-musculus-109
229385,24-0432,half brain,ASOG,SLi,1668148,mus-musculus-109
229336,24-0432,half brain,ASOA,SLi,2161739,mus-musculus-109
229391,24-0432,half brain,ASO1,SLi,2347700,mus-musculus-109
229384,24-0432,half brain,ASO2-MsPA1,SLi,1550711,mus-musculus-109
229392,24-0432,half brain,ASOI,SLi,2745933,mus-musculus-109
229377,24-0432,half brain,ASO2-OMe2,SLi,1821740,mus-musculus-109
229303,24-0432,half brain,ASO2-MOE,SLi,2733285,mus-musculus-109
229324,24-0432,half brain,ASOF,SLi,1548847,mus-musculus-109
229331,24-0432,half brain,PBS,SLi,1843296,mus-musculus-109
229374,24-0432,half brain,PBS,SLi,3155087,mus-musculus-109
229362,24-0432,half brain,ASOD,SLi,1726036,mus-musculus-109
229325,24-0432,half brain,ASO2,SLi,2494386,mus-musculus-109
229297,24-0432,half brain,ASOF,SLi,1637897,mus-musculus-109
229352,24-0432,half brain,ASOB,SLi,2705106,mus-musculus-109
229387,24-0432,half brain,PBS,SLi,1672744,mus-musculus-109
229308,24-0432,half brain,ASO2,SLi,1950873,mus-musculus-109
229356,24-0432,half brain,ASO2-MsPA1,SLi,1954485,mus-musculus-109
229315,24-0432,half brain,ASO1,SLi,1888491,mus-musculus-109
229335,24-0432,half brain,ASO2,SLi,1584233,mus-musculus-109
229309,24-0432,half brain,ASO2-MOE,SLi,2572282,mus-musculus-109
229393,24-0432,half brain,ASOD,SLi,1954711,mus-musculus-109
229339,24-0432,half brain,ASO2-MsPA1,SLi,2181020,mus-musculus-109
229354,24-0432,half brain,PBS,SLi,3488798,mus-musculus-109
229319,24-0432,half brain,ASOA,SLi,2045830,mus-musculus-109
229370,24-0432,half brain,ASO2-OMe2,SLi,2378078,mus-musculus-109
229378,24-0432,half brain,ASO2-OMe2,SLi,2257221,mus-musculus-109
229376,24-0432,half brain,ASOI,SLi,1969197,mus-musculus-109
229306,24-0432,half brain,ASOD,SLi,1867464,mus-musculus-109
229310,24-0432,half brain,ASOB,SLi,2121549,mus-musculus-109
229366,24-0432,half brain,ASO2,SLi,3291703,mus-musculus-109
229381,24-0432,half brain,ASOD,SLi,2013989,mus-musculus-109
229311,24-0432,half brain,ASO2,SLi,2313613,mus-musculus-109
229304,24-0432,half brain,ASOB,SLi,1924371,mus-musculus-109
229292,24-0432,half brain,ASOD,SLi,1915971,mus-musculus-109
229312,24-0432,half brain,PBS,SLi,1753868,mus-musculus-109
229355,24-0432,half brain,ASO1,SLi,2205032,mus-musculus-109
229305,24-0432,half brain,ASO2-OMe2,SLi,3908126,mus-musculus-109
229330,24-0432,half brain,ASOB,SLi,2467670,mus-musculus-109
229296,24-0432,half brain,PBS,SLi,2029025,mus-musculus-109
229363,24-0432,half brain,ASO2-MsPA1,SLi,1735037,mus-musculus-109
229301,24-0432,half brain,ASOA,SLi,1754474,mus-musculus-109
229358,24-0432,half brain,ASO2-MOE,SLi,1978515,mus-musculus-109
229389,24-0432,half brain,ASO2-OMe2,SLi,2225325,mus-musculus-109
229328,24-0432,half brain,ASO2,SLi,3488157,mus-musculus-109
229390,24-0432,half brain,ASO2-OMe2,SLi,1875956,mus-musculus-109
229291,24-0432,half brain,PBS,SLi,2411117,mus-musculus-109
229388,24-0432,half brain,ASO2-MOE,SLi,1824995,mus-musculus-109
229327,24-0432,half brain,ASO2-OMe2,SLi,1867724,mus-musculus-109
229295,24-0432,half brain,ASOA,SLi,1693485,mus-musculus-109
229350,24-0432,half brain,PBS,SLi,2119401,mus-musculus-109
229371,24-0432,half brain,ASO2-OMe2,SLi,3311393,mus-musculus-109
229382,24-0432,half brain,ASO2,SLi,2484741,mus-musculus-109
229367,24-0432,half brain,ASOF,SLi,2131032,mus-musculus-109
229372,24-0432,half brain,ASOG,SLi,1407478,mus-musculus-109
229383,24-0432,half brain,ASOB,SLi,1968200,mus-musculus-109
229380,24-0432,half brain,ASO2-MsPA1,SLi,2287963,mus-musculus-109
229307,24-0432,half brain,PBS,SLi,3265779,mus-musculus-109
229317,24-0432,half brain,ASO2,SLi,2652197,mus-musculus-109
229360,24-0432,half brain,PBS,SLi,2321076,mus-musculus-109
229353,24-0432,half brain,ASO2-OMe2,SLi,2225915,mus-musculus-109
229298,24-0432,half brain,PBS,SLi,1735730,mus-musculus-109
229302,24-0432,half brain,ASO2-MOE,SLi,1659886,mus-musculus-109
229338,24-0432,half brain,PBS,SLi,2126697,mus-musculus-109
229342,24-0432,half brain,ASO2-MsPA1,SLi,3275562,mus-musculus-109
229323,24-0432,half brain,ASO2-MsPA1,SLi,2184395,mus-musculus-109
229345,24-0432,half brain,ASOA,SLi,1914312,mus-musculus-109
229316,24-0432,half brain,ASOD,SLi,1804350,mus-musculus-109
229368,24-0432,half brain,ASO2-MsPA1,SLi,1738899,mus-musculus-109
229299,24-0432,half brain,ASO2-MsPA1,SLi,2350275,mus-musculus-109
229294,24-0432,half brain,ASO2-OMe2,SLi,3657573,mus-musculus-109
229379,24-0432,half brain,ASO2,SLi,2950991,mus-musculus-109
229373,24-0432,half brain,ASO2-OMe2,SLi,2188635,mus-musculus-109
229320,24-0432,half brain,ASO2-MsPA1,SLi,2490902,mus-musculus-109
229344,24-0432,half brain,ASO2-MsPA1,SLi,2132586,mus-musculus-109
229313,24-0432,half brain,ASOA,SLi,1604546,mus-musculus-109
229394,24-0432,half brain,ASO2-MOE,SLi,2338440,mus-musculus-109
229375,24-0432,half brain,ASOB,SLi,2663765,mus-musculus-109
229386,24-0432,half brain,PBS,SLi,2439734,mus-musculus-109
229300,24-0432,half brain,ASOI,SLi,2153436,mus-musculus-109
229321,24-0432,half brain,ASO1,SLi,2102480,mus-musculus-109
