Gene	Location	Control RNA mean	R495X RNA mean	P-value	log2FoldChange
Peg10	chr6:4697305-4710515:1	990.9	576.7	1.48E-09	-0.716
Enc1	chr13:98011059-98022994:1	1146.3	690.7	5.37E-09	-0.673
BC134356	chr18:43480650-43482278:-1	2407.2	1712.1	4.39239E-06	-0.463
Xpr1	chr1:157122786-157264573:-1	1182.4	811.7	4.80127E-06	-0.505
Eid1	chr2:125498835-125501377:1	828.0	547.1	1.05546E-05	-0.543
Tmod2	chr9:75413428-75459131:-1	1573.1	1054.8	1.13181E-05	-0.528
Kctd12	chr14:103375797-103381853:-1	150.1	72.3	1.51E-05	-0.795
Lsm11	chr11:45741770-45758436:-1	413.6	254.0	1.64E-05	-0.615
Pcsk5	chr19:17507321-17912121:-1	62.0	19.2	8.01E-05	-0.849
Usp22	chr11:60965282-60988560:-1	1942.2	1451.9	0.000157001	-0.394
Ppm1e	chr11:87040407-87172495:-1	396.7	271.6	0.000485848	-0.482
Sgcz	chr8:38585607-39724561:-1	102.6	51.5	0.000529364	-0.686
Ncs1	chr2:31101442-31150990:1	1091.6	803.0	0.000590757	-0.406
2900097C17Rik	chr2:156213798-156218714:-1	904.8	677.8	0.000681043	-0.385
Rnf187	chr11:58745789-58752407:-1	1231.5	908.2	0.000729238	-0.402
Sqle	chr15:59146646-59162747:1	326.1	216.2	0.000740273	-0.509
Ubqln1	chr13:58277516-58317013:-1	271.8	176.6	0.000841051	-0.524
Slc25a4	chr8:47292697-47296362:-1	514.3	357.6	0.000975109	-0.462
Ids	chrX:67596244-67618259:-1	334.2	211.1	9.78E-04	-0.544
Stxbp5	chr10:9475344-9620837:-1	369.5	246.7	0.001015353	-0.499
Wdr13	chrX:7700426-7709983:-1	527.8	384.1	0.001169263	-0.414
Nsg1	chr5:38528431-38550705:-1	883.5	651.2	0.001215393	-0.400
Pafah1b1	chr11:74487450-74537885:-1	759.8	560.0	0.001422896	-0.399
Sorcs1	chr19:50222150-50753101:-1	125.5	70.8	0.001572029	-0.604
Reep5	chr18:34504539-34533068:-1	370.5	251.4	0.001701798	-0.478
Faf1	chr4:109349231-109636564:1	97.0	51.4	1.75E-03	-0.625
Shroom2	chrX:149044051-149204003:-1	549.9	404.8	0.00176796	-0.399
AK034221	chr5:58107378-58111439:-1	424.5	304.5	0.001825632	-0.425
Mkrn1	chr6:39347819-39370367:-1	471.2	342.1	0.001889715	-0.412
Zyg11b	chr4:107900359-107973694:-1	782.8	587.6	0.001975433	-0.377
Ywhab	chr2:163820932-163844322:1	814.8	616.0	0.002014054	-0.370
Dpysl3	chr18:43483880-43597890:-1	617.2	454.4	0.002037674	-0.398
Klhl23	chr2:69660426-69674707:1	398.8	285.3	0.002072277	-0.427
D430041D05Rik	chr2:103983231-104250490:-1	546.2	400.1	0.002354898	-0.402
Arnt2	chr7:91394788-91558468:-1	719.9	550.3	0.002378617	-0.356
Basp1	chr15:25293031-25343518:-1	2381.6	1906.2	0.002895158	-0.302
Phldb2	chr16:45746345-45953710:-1	35.7	12.5	0.003183057	-0.628
Hspa8	chr9:40609355-40613282:1	2627.3	2117.9	0.003227229	-0.293
Fut9	chr4:25536479-25727149:-1	160.6	97.6	0.003599738	-0.541
Pgrmc1	chrX:34138219-34146073:1	508.4	378.7	0.003965698	-0.380
