gene	tss	aaa	length
0610005C13Rik	45217218	45224751	7533
0610006L08Rik	74468566	74503561	34995
0610009B22Rik	51576213	51579701	3488
0610009E02Rik	26335708	26349402	13694
0610009L18Rik	120239504	120242016	2512
0610010K14Rik	70126032	70128740	2708
0610012D04Rik	87669667	87671890	2223
0610012G03Rik	31765868	31767312	1444
0610025J13Rik	98209635	98220028	10393
0610030E20Rik	72324300	72330131	5831
0610031O16Rik	137916477	137946166	29689
0610033M10Rik	51377946	51379199	1253
0610038B21Rik	78243685	78250527	6842
0610039K10Rik	163486770	163487721	951
0610040B10Rik	143315002	143318459	3457
0610040F04Rik	108554000	108637895	83895
0610040J01Rik	63969706	64056968	87262
0610043K17Rik	101210980	101256378	45398
0710001A04Rik	25846827	25852204	5377
1010001B22Rik	110143377	110144264	887
1100001I12Rik	38641187	38660083	18896
1110002E22Rik	137770813	137787267	16454
1110002J07Rik	66748268	66756037	7769
1110002L01Rik	3453878	3477011	23133
1110002O04Rik	35918926	35920200	1274
1110003F10Rik	65563094	65563860	766
1110004F10Rik	115638632	115704445	65813
1110006O24Rik	115769108	115769875	767
1110008E08Rik	90351052	90351774	722
1110013H19Rik	100511054	100511724	670
1110015O18Rik	4862618	4879971	17353
1110017D15Rik	41505009	41517333	12324
1110018N20Rik	167030622	167034728	4106
1110019B22Rik	95554995	95558362	3367
1110019D14Rik	13871525	14044384	172859
1110020A21Rik	85224610	85265138	40528
1110025L11Rik	88860300	88860890	590
1110025M09Rik	81468375	81469229	854
1110028F11Rik	87592222	87596157	3935
1110028F18Rik	107313775	107321452	7677
1110032A03Rik	50674128	50686820	12692
1110032F04Rik	68776919	68779496	2577
1110035H17Rik	28855105	28856345	1240
1110038B12Rik	35169214	35171447	2233
1110038F14Rik	76832706	76835179	2473
1110046J04Rik	34119550	34144164	24614
1110051M20Rik	91105413	91275049	169636
1110057P08Rik	88971623	88972087	464
1110059E24Rik	21558566	21630340	71774
1110059G10Rik	122774154	122780065	5911
1110060G06Rik	20933392	20933890	498
1110065P20Rik	124742873	124744989	2116
1190001M18Rik	82865142	82866411	1269
1190005I06Rik	121335341	121374371	39030
1190007I07Rik	82455685	82459062	3377
1190028D05Rik	52809646	52856374	46728
1200007C13Rik	167669613	167675566	5953
1300002E11Rik	21613068	21627790	14722
1300014J16Rik	80162637	80163973	1336
1300017J02Rik	103127720	103182281	54561
1500002C15Rik	155817002	155819184	2182
1500002F19Rik	132476468	132532926	56458
1500004A13Rik	88690250	88739854	49604
1500005C15Rik	127508283	127510676	2393
1500009C09Rik	82136598	82144954	8356
1500009L16Rik	83558729	83598626	39897
1500011B03Rik	114946257	114961529	15272
1500012K07Rik	74958444	74981167	22723
1500015A07Rik	61859461	61868988	9527
1500015L24Rik	20302220	20422247	120027
1500026H17Rik	89522233	89536728	14495
1500032F14Rik	4304059	4307679	3620
1500035N22Rik	25190840	25203166	12326
1520401A03Rik	23923462	23941757	18295
1600002D24Rik	95557741	95730277	172536
1600010M07Rik	109597583	109750409	152826
1600012H06Rik	15163446	15179832	16386
1600012P17Rik	158795271	158808033	12762
1600014C10Rik	37882642	37896992	14350
1600014C23Rik	46043790	46044770	980
1600017P15Rik	30648993	30649882	889
1600019K03Rik	35323540	35329789	6249
1600020E01Rik	86503229	86559448	56219
1600022D10Rik	71451533	71488982	37449
1600023N17Rik	45826044	45827050	1006
1600025M17Rik	55362968	55366024	3056
1600027J07Rik	104070510	104074166	3656
1600029O15Rik	58110180	58116091	5911
1700001C19Rik	47723659	47748301	24642
1700001D01Rik	61734556	61741906	7350
1700001F09Rik	43199840	43205268	5428
1700001G01Rik	17152108	17270616	118508
1700001G11Rik	66532783	66534578	1795
1700001G17Rik	33708905	33709793	888
1700001J03Rik	146119251	146122114	2863
1700001J04Rik	114076265	114077603	1338
1700001J11Rik	39961661	39964324	2663
1700001K19Rik	110634122	110649053	14931
1700001K23Rik	53237167	53253836	16669
1700001L05Rik	83238048	83251483	13435
1700001L19Rik	68745540	68762350	16810
1700001N15Rik	143115162	143117293	2131
1700001O22Rik	30684781	30693673	8892
1700001P01Rik	97662307	97666744	4437
1700003C15Rik	11739220	11819275	80055
1700003D09Rik	98241544	98249109	7565
1700003E16Rik	83133386	83139927	6541
1700003E24Rik	92199760	92200479	719
1700003F12Rik	154389005	154391923	2918
1700003G18Rik	115680994	115692394	11400
1700003H04Rik	124350001	124374750	24749
1700003I16Rik	149100593	149116683	16090
1700003I22Rik	56058137	56059362	1225
1700003L19Rik	12618443	12666517	48074
1700003M07Rik	129854167	129857450	3283
1700003N22Rik	8527288	8528095	807
1700003O11Rik	76147282	76148748	1466
1700003P14Rik	118691896	118725240	33344
1700006A11Rik	124194638	124219689	25051
1700006F04Rik	119986637	119988976	2339
1700006H21Rik	107823932	107828708	4776
1700006J14Rik	120200062	120220241	20179
1700006P03Rik	137253172	137253580	408
1700007E05Rik	31195324	31197951	2627
1700007F19Rik	58049128	58071228	22100
1700007H22Rik	85936192	85947564	11372
1700007J10Rik	59616743	59630980	14237
1700007K13Rik	28352013	28356344	4331
1700007L15Rik	33200224	33201097	873
1700007M16Rik	171075929	171080911	4982
1700007P06Rik	186857335	186860049	2714
1700008A23Rik	99204879	99205569	690
1700008B11Rik	121973258	121973891	633
1700008C04Rik	51051941	51109326	57385
1700008H02Rik	82267526	82269209	1683
1700008J07Rik	127109610	127112041	2431
1700008K24Rik	49419291	49420563	1272
1700008N11Rik	28574856	28575624	768
1700008O03Rik	44009467	44035244	25777
1700008P02Rik	6680478	6685503	5025
1700009C05Rik	81877445	81887781	10336
1700009J07Rik	77729251	77731948	2697
1700009N14Rik	39450295	39451776	1481
1700010B08Rik	173561208	173563882	2674
1700010B13Rik	73517701	73524196	6495
1700010D01Rik	94776192	94776871	679
1700010G06Rik	64186346	64187925	1579
1700010H22Rik	98701488	98714863	13375
1700010I02Rik	7990363	8019949	29586
1700010I14Rik	9207165	9230781	23616
1700010J16Rik	112562793	112621507	58714
1700010K23Rik	66454004	66461512	7508
1700010K24Rik	108156225	108164301	8076
1700010L04Rik	82500807	82509057	8250
1700010N08Rik	38491085	38559956	68871
1700011B04Rik	35351910	35372000	20090
1700011C11Rik	71610921	71677065	66144
1700011D18Rik	78497002	78497278	276
1700011L03Rik	47399830	47401834	2004
1700011L22Rik	79937060	79975199	38139
1700011M02Rik	101952511	101953257	746
1700012A03Rik	32027181	32035856	8675
1700012B07Rik	109678477	109718872	40395
1700012B09Rik	14667883	14682326	14443
1700012C08Rik	117070531	117070979	448
1700012C14Rik	30460127	30463312	3185
1700012D14Rik	110682271	110721891	39620
1700012D16Rik	153002141	153004286	2145
1700012E03Rik	120363534	120366184	2650
1700012I11Rik	67098618	67248943	150325
1700012J15Rik	7766394	7777681	11287
1700012J22Rik	99778482	99779311	829
1700012P22Rik	144144759	144165342	20583
1700013A02Rik	148490027	148490671	644
1700013D24Rik	124324557	124334028	9471
1700013F07Rik	108441466	108452039	10573
1700013G24Rik	137180595	137182772	2177
1700013H16Rik	52744868	52759798	14930
1700013M08Rik	102622156	102631155	8999
